target,target_col,horizon,signal,regime,term,coefficient,t_value,p_value
CPI,cpi_target_3,3,jolts,pre,log_jolts_ratio,-0.889705651159816,-2.0745380460213902,0.03802936913643674
CPI,cpi_target_3,3,jolts,post,log_jolts_ratio,5.328491868504354,128427024055100.33,0.0
CPI,cpi_target_3,3,unemployment,pre,unemployment_rate,0.25912387066227294,1.9819274438311438,0.04748736186171015
CPI,cpi_target_3,3,unemployment,post,unemployment_rate,-2.126611817251832,-456279175807150.56,0.0
CPI,cpi_target_3,3,quits,pre,quits_rate,-2.1114817262923427,-2.344207166179004,0.019067577065995385
CPI,cpi_target_3,3,quits,post,quits_rate,-4.5136391946098335,-196457046211154.78,0.0
CPI,cpi_target_3,3,fed_funds,pre,fed_funds,-0.011447927809953878,-0.059260094446220636,0.9527449452459731
CPI,cpi_target_3,3,fed_funds,post,fed_funds,0.8709460956517043,161461616343305.72,0.0
CPI,cpi_target_3,3,lagged_target,pre,cpi_target_3_lag,0.5923564214703042,5.223559927819556,1.755156257360417e-07
CPI,cpi_target_3,3,lagged_target,post,cpi_target_3_lag,1.213187371975092,17.74589783493852,1.8541292391049392e-70
CPI,cpi_target_6,6,jolts,pre,log_jolts_ratio,-0.5175687780705489,-3.9732771238947437,7.089049014101586e-05
CPI,cpi_target_6,6,jolts,post,log_jolts_ratio,-0.7009087104294611,-0.851598857230248,0.3944367740913597
CPI,cpi_target_6,6,unemployment,pre,unemployment_rate,0.14401101187371848,3.639206609579252,0.0002734793200774278
CPI,cpi_target_6,6,unemployment,post,unemployment_rate,0.3481822376892789,0.8501091186241768,0.3952644224022265
CPI,cpi_target_6,6,quits,pre,quits_rate,-1.2230981921132957,-3.2614138031191557,0.001108581313636846
CPI,cpi_target_6,6,quits,post,quits_rate,0.8318311524823501,1.1847028758953067,0.2361349449996587
CPI,cpi_target_6,6,fed_funds,pre,fed_funds,0.005923542514356825,0.12132324931442515,0.9034350057467089
CPI,cpi_target_6,6,fed_funds,post,fed_funds,-0.17644573749654408,-2.350805739387137,0.018732810898044214
CPI,cpi_target_6,6,lagged_target,pre,cpi_target_6_lag,0.8741097716037005,27.707257806912587,5.70891501009452e-169
CPI,cpi_target_6,6,lagged_target,post,cpi_target_6_lag,0.9536578377329105,47.345226526327046,0.0
CPI,cpi_target_12,12,jolts,pre,log_jolts_ratio,0.1916392496875831,1.9918264389822617,0.04639010429639668
CPI,cpi_target_12,12,jolts,post,log_jolts_ratio,-0.375800759128714,-92105689240372.78,0.0
CPI,cpi_target_12,12,unemployment,pre,unemployment_rate,-0.04316432365822628,-1.2765371220587705,0.20176571294252044
CPI,cpi_target_12,12,unemployment,post,unemployment_rate,0.2286601077731354,211506487416691.2,0.0
CPI,cpi_target_12,12,quits,pre,quits_rate,0.3125523128130411,1.4237012839584635,0.15453296189223292
CPI,cpi_target_12,12,quits,post,quits_rate,-1.0143906590096547,-47194716676334.26,0.0
CPI,cpi_target_12,12,fed_funds,pre,fed_funds,0.07814327375033045,4.130212373262077,3.62428276115105e-05
CPI,cpi_target_12,12,fed_funds,post,fed_funds,-0.1188843585214967,-213.56281657047953,0.0
CPI,cpi_target_12,12,lagged_target,pre,cpi_target_12_lag,0.8069323049278465,11.192867294183651,4.419080881191632e-29
CPI,cpi_target_12,12,lagged_target,post,cpi_target_12_lag,0.5742390142133833,22.334449469349018,1.7102289836912398e-110
