model_name,target_name,split_name,rmse_value,mae_value,row_count
Ridge,wage_target_3,fold_2,0.2063474244844275,0.16531774760592388,31
OLS,wage_target_3,fold_2,0.27428611730843677,0.23480312687679647,31
Persistence,wage_target_3,fold_3,0.3315477571270879,0.23768797894398005,31
ElasticNet,wage_target_3,fold_3,0.1905119361646426,0.1538431052802324,31
ElasticTuned,wage_target_3,fold_3,0.2679220260716692,0.21394481455199377,31
Ridge,wage_target_3,fold_3,0.21315416760626502,0.16315635702781212,31
OLS,wage_target_3,fold_3,0.31191844068180896,0.1742541361852266,31
Persistence,wage_target_3,fold_4,1.4821762464071992,1.0389850833645626,31
ElasticNet,wage_target_3,fold_4,1.5353714575385493,1.0185488734045367,31
ElasticTuned,wage_target_3,fold_4,1.5413976856546414,1.0001965733610654,31
Ridge,wage_target_3,fold_4,1.6107359767303562,1.108310808603255,31
OLS,wage_target_3,fold_4,1.7917350983540166,1.22360234676894,31
Persistence,wage_target_3,fold_5,0.6964736360622173,0.5585827003902369,31
ElasticNet,wage_target_3,fold_5,0.7724604754460745,0.5786823169756912,31
ElasticTuned,wage_target_3,fold_5,0.7756418548786315,0.5983107266922316,31
Ridge,wage_target_3,fold_5,1.1506084052934646,0.8443030635674984,31
OLS,wage_target_3,fold_5,1.6970037500251351,1.259628399816829,31
Persistence,wage_target_6,fold_1,0.21859602276793494,0.1898735392716133,31
ElasticNet,wage_target_6,fold_1,0.41879430985027305,0.31769441701705653,31
ElasticTuned,wage_target_6,fold_1,0.3616146637636198,0.2794520798901682,31
Ridge,wage_target_6,fold_1,0.391559510278272,0.31014426662107186,31
Persistence,wage_target_6,fold_2,0.19848853942300398,0.1696514958722093,31
ElasticNet,wage_target_6,fold_2,0.13598954984227601,0.11311473086137099,31
ElasticTuned,wage_target_6,fold_2,0.12542204214333813,0.1031036361728705,31
Ridge,wage_target_6,fold_2,0.17285300266730308,0.1430462804352,31
Persistence,wage_target_6,fold_3,0.3315477571270879,0.23768797894398005,31
ElasticNet,wage_target_6,fold_3,0.18646535926892363,0.13852030540728766,31
ElasticTuned,wage_target_6,fold_3,0.1986097984654785,0.14893970517557803,31
Ridge,wage_target_6,fold_3,0.157450855636932,0.12350659323776282,31
Persistence,wage_target_6,fold_4,1.4821762464071992,1.0389850833645626,31
ElasticNet,wage_target_6,fold_4,1.7000934744171554,1.2151844981333044,31
ElasticTuned,wage_target_6,fold_4,1.7531696252232145,1.2563817465581395,31
Ridge,wage_target_6,fold_4,1.5470292789920361,1.1268852610008948,31
Persistence,wage_target_6,fold_5,0.6964736360622173,0.5585827003902369,31
ElasticNet,wage_target_6,fold_5,0.9046912341006574,0.8058730050615682,31
ElasticTuned,wage_target_6,fold_5,1.3041490450578583,1.187531353628557,31
Ridge,wage_target_6,fold_5,1.4552951809138397,1.328582113426865,31
