target_name,model_name,split_name,term_name,coef_value,std_value,t_value,p_value,row_count,r2_value
wage_target_6,interaction_regression,full_sample,log_jolts_ratio,1.0189088066573129,0.2599685670686898,3.91935385937675,8.878667773973522e-05,235,0.4647386967514101
wage_target_6,interaction_regression,full_sample,post_shift,0.6605463573149128,0.38298701645386835,1.7247225857184565,0.08457747873622118,235,0.4647386967514101
wage_target_6,interaction_regression,full_sample,jolts_x_shift,0.4994390917164291,0.6931129377645757,0.7205738985730341,0.4711717177731647,235,0.4647386967514101
wage_target_12,direct_regression,pre_train,const,3.384644757580129,0.22917799402849334,14.768628951169376,2.3341294553275064e-49,166,0.545420519127727
wage_target_12,direct_regression,pre_train,log_jolts_ratio,1.0458051268685995,0.20252292221766569,5.163885230456032,2.4187603328132654e-07,166,0.545420519127727
wage_target_12,direct_regression,post_eval,const,3.898574236236455,0.23107592028139576,16.87139980439725,7.304468069766749e-64,46,0.14875910264568737
wage_target_12,direct_regression,post_eval,log_jolts_ratio,0.8040884372824385,0.3559340370063529,2.2590939715835234,0.023877540064131866,46,0.14875910264568737
wage_target_12,interaction_regression,full_sample,const,3.3846447575801304,0.2291779940284933,14.768628951169385,2.3341294553272732e-49,229,0.6789275392507186
wage_target_12,interaction_regression,full_sample,log_jolts_ratio,1.0458051268685966,0.20252292221766502,5.163885230456034,2.418760332813225e-07,229,0.6789275392507186
wage_target_12,interaction_regression,full_sample,post_shift,0.8415623789315918,0.3511962973062577,2.39627349543983,0.0165627267029214,229,0.6789275392507186
wage_target_12,interaction_regression,full_sample,jolts_x_shift,-0.5762020798877616,0.37532496277539984,-1.5352085180451205,0.12473261666241278,229,0.6789275392507186
cpi_target_3,direct_regression,pre_train,const,2.1838928200442727,0.2964075141501461,7.367872661075708,1.7337226632445903e-13,229,0.0018012330407506383
cpi_target_3,direct_regression,pre_train,log_jolts_ratio,0.2033057411911825,0.36059716463522784,0.5638029389300443,0.5728882514679051,229,0.0018012330407506383
cpi_target_3,direct_regression,post_eval,const,2.859768190884587,0.5005038760286838,5.713778309922008,1.1049492702467417e-08,53,0.18345656518028086
cpi_target_3,direct_regression,post_eval,log_jolts_ratio,4.269901223126558,1.8816927487527988,2.2691808883021327,0.02325732798774724,53,0.18345656518028086
cpi_target_3,interaction_regression,full_sample,const,2.183892820044272,0.2964075141501456,7.36787266107572,1.733722663244446e-13,299,0.09577978838820522
cpi_target_3,interaction_regression,full_sample,log_jolts_ratio,0.20330574119118427,0.36059716463522834,0.5638029389300485,0.5728882514679023,299,0.09577978838820522
cpi_target_3,interaction_regression,full_sample,post_shift,1.7080818392336337,0.6031559118670082,2.831907647139591,0.004627121086018737,299,0.09577978838820522
cpi_target_3,interaction_regression,full_sample,jolts_x_shift,0.6482063642400286,0.951066568660413,0.6815573016650496,0.49551892189877966,299,0.09577978838820522
cpi_target_6,direct_regression,pre_train,const,1.992664615715666,0.3102323262091694,6.423136621720531,1.3349457700539577e-10,229,1.025872418902729e-06
cpi_target_6,direct_regression,pre_train,log_jolts_ratio,-0.0035108608004233,0.33481177896857806,-0.01048607313410199,0.9916334774704352,229,1.025872418902729e-06
cpi_target_6,direct_regression,post_eval,const,3.028826790972702,0.5875063864339936,5.15539381513258,2.5309843427229737e-07,51,0.12372761024524748
cpi_target_6,direct_regression,post_eval,log_jolts_ratio,3.2503854730510082,1.7324146838231838,1.8762167646131276,0.06062552096252019,51,0.12372761024524748
cpi_target_6,interaction_regression,full_sample,const,1.9926646157156653,0.3102323262091693,6.423136621720531,1.3349457700539577e-10,297,0.18048514550100692
cpi_target_6,interaction_regression,full_sample,log_jolts_ratio,-0.003510860800423749,0.33481177896857806,-0.010486073134103331,0.9916334774704342,297,0.18048514550100692
