target,target_col,horizon,model,params_json,fold,rmse,mae,oos_r2_vs_persistence,row_count,train_end,test_start,test_end
Wage,wage_target_3,3,ElasticNet,"{""alpha"": 0.001, ""l1_ratio"": 0.5}",1,0.7826336506928965,0.6411075496394674,-0.9448390867005185,27,2010-05-01,2010-06-01,2012-08-01
Wage,wage_target_3,3,ElasticNet,"{""alpha"": 0.001, ""l1_ratio"": 0.5}",2,0.8103385873028003,0.6850632464531129,-0.5577642005954608,27,2012-08-01,2012-09-01,2014-11-01
Wage,wage_target_3,3,ElasticNet,"{""alpha"": 0.001, ""l1_ratio"": 0.5}",3,0.9026926593587291,0.8003170923912905,-1.0512237033859164,27,2014-11-01,2014-12-01,2017-02-01
Wage,wage_target_3,3,ElasticNet,"{""alpha"": 0.001, ""l1_ratio"": 0.5}",4,0.8133894187563087,0.6763931413322539,0.43240580504167614,27,2017-02-01,2017-03-01,2019-05-01
Wage,wage_target_3,3,ElasticNet,"{""alpha"": 0.001, ""l1_ratio"": 0.8}",1,0.781798096875615,0.6380079363153747,-0.9406886127915031,27,2010-05-01,2010-06-01,2012-08-01
Wage,wage_target_3,3,ElasticNet,"{""alpha"": 0.001, ""l1_ratio"": 0.8}",2,0.8185018903132795,0.6930648494344538,-0.5893079380629775,27,2012-08-01,2012-09-01,2014-11-01
Wage,wage_target_3,3,ElasticNet,"{""alpha"": 0.001, ""l1_ratio"": 0.8}",3,0.9015597758979784,0.7990384460184189,-1.0460783436767316,27,2014-11-01,2014-12-01,2017-02-01
Wage,wage_target_3,3,ElasticNet,"{""alpha"": 0.001, ""l1_ratio"": 0.8}",4,0.8113640480636778,0.6744447778069118,0.4352289482040994,27,2017-02-01,2017-03-01,2019-05-01
Wage,wage_target_3,3,ElasticNet,"{""alpha"": 0.001, ""l1_ratio"": 0.95}",1,0.78174058615658,0.6360719934534897,-0.940403100987772,27,2010-05-01,2010-06-01,2012-08-01
Wage,wage_target_3,3,ElasticNet,"{""alpha"": 0.001, ""l1_ratio"": 0.95}",2,0.8231808751468065,0.6975930191343075,-0.6075305050539184,27,2012-08-01,2012-09-01,2014-11-01
Wage,wage_target_3,3,ElasticNet,"{""alpha"": 0.001, ""l1_ratio"": 0.95}",3,0.9010382066440377,0.7984469712932575,-1.043711639007006,27,2014-11-01,2014-12-01,2017-02-01
Wage,wage_target_3,3,ElasticNet,"{""alpha"": 0.001, ""l1_ratio"": 0.95}",4,0.8102891841883975,0.6734080474308333,0.43672433095678376,27,2017-02-01,2017-03-01,2019-05-01
Wage,wage_target_3,3,ElasticNet,"{""alpha"": 0.01, ""l1_ratio"": 0.2}",1,0.7471394181811579,0.6181197699033808,-0.7724334579269834,27,2010-05-01,2010-06-01,2012-08-01
Wage,wage_target_3,3,ElasticNet,"{""alpha"": 0.01, ""l1_ratio"": 0.2}",2,0.6147321847177475,0.4874767801638492,0.1035200476094662,27,2012-08-01,2012-09-01,2014-11-01
Wage,wage_target_3,3,ElasticNet,"{""alpha"": 0.01, ""l1_ratio"": 0.2}",3,0.7404531088959598,0.6119774153709391,-0.3801564730473608,27,2014-11-01,2014-12-01,2017-02-01
Wage,wage_target_3,3,ElasticNet,"{""alpha"": 0.01, ""l1_ratio"": 0.2}",4,0.6835784041640245,0.5503322331953948,0.5991170588951036,27,2017-02-01,2017-03-01,2019-05-01
Wage,wage_target_3,3,ElasticNet,"{""alpha"": 0.01, ""l1_ratio"": 0.5}",1,0.7691113769258838,0.638530660160542,-0.878214162724757,27,2010-05-01,2010-06-01,2012-08-01
Wage,wage_target_3,3,ElasticNet,"{""alpha"": 0.01, ""l1_ratio"": 0.5}",2,0.6201717232052752,0.4946343508178303,0.08758461353370095,27,2012-08-01,2012-09-01,2014-11-01
Wage,wage_target_3,3,ElasticNet,"{""alpha"": 0.01, ""l1_ratio"": 0.5}",3,0.695777545955645,0.5580126152927503,-0.21863605481619386,27,2014-11-01,2014-12-01,2017-02-01
Wage,wage_target_3,3,ElasticNet,"{""alpha"": 0.01, ""l1_ratio"": 0.5}",4,0.6626976939290035,0.5306837503423952,0.6232338937904838,27,2017-02-01,2017-03-01,2019-05-01
Wage,wage_target_3,3,ElasticNet,"{""alpha"": 0.01, ""l1_ratio"": 0.8}",1,0.7606339896693095,0.6280167861611631,-0.8370378163137786,27,2010-05-01,2010-06-01,2012-08-01
Wage,wage_target_3,3,ElasticNet,"{""alpha"": 0.01, ""l1_ratio"": 0.8}",2,0.6281075204844615,0.5032232056237008,0.06408444410512082,27,2012-08-01,2012-09-01,2014-11-01
Wage,wage_target_3,3,ElasticNet,"{""alpha"": 0.01, ""l1_ratio"": 0.8}",3,0.6421762146608563,0.5019100219839201,-0.038105845465759014,27,2014-11-01,2014-12-01,2017-02-01
Wage,wage_target_3,3,ElasticNet,"{""alpha"": 0.01, ""l1_ratio"": 0.8}",4,0.6579319421461427,0.5269846843920207,0.6286333915611904,27,2017-02-01,2017-03-01,2019-05-01
Wage,wage_target_3,3,ElasticNet,"{""alpha"": 0.01, ""l1_ratio"": 0.95}",1,0.7549197170092649,0.6208303676814678,-0.8095399541906638,27,2010-05-01,2010-06-01,2012-08-01
Wage,wage_target_3,3,ElasticNet,"{""alpha"": 0.01, ""l1_ratio"": 0.95}",2,0.6338786907578307,0.5089208702573061,0.0468066944601373,27,2012-08-01,2012-09-01,2014-11-01
Wage,wage_target_3,3,ElasticNet,"{""alpha"": 0.01, ""l1_ratio"": 0.95}",3,0.6318947954331123,0.49326554089768965,-0.005131217313517622,27,2014-11-01,2014-12-01,2017-02-01
Wage,wage_target_3,3,ElasticNet,"{""alpha"": 0.01, ""l1_ratio"": 0.95}",4,0.6552101318124841,0.5248570082164549,0.6316996621930011,27,2017-02-01,2017-03-01,2019-05-01
Wage,wage_target_3,3,ElasticNet,"{""alpha"": 0.05, ""l1_ratio"": 0.2}",1,0.6401154204920902,0.5049134004447831,-0.3010177414605715,27,2010-05-01,2010-06-01,2012-08-01
Wage,wage_target_3,3,ElasticNet,"{""alpha"": 0.05, ""l1_ratio"": 0.2}",2,0.5950249731899342,0.4666849837104347,0.16007778898020986,27,2012-08-01,2012-09-01,2014-11-01
Wage,wage_target_3,3,ElasticNet,"{""alpha"": 0.05, ""l1_ratio"": 0.2}",3,0.6027410515155532,0.4709202542538759,0.08547675713455771,27,2014-11-01,2014-12-01,2017-02-01
Wage,wage_target_3,3,ElasticNet,"{""alpha"": 0.05, ""l1_ratio"": 0.2}",4,0.6398881516544561,0.5132315257923608,0.6487235414964718,27,2017-02-01,2017-03-01,2019-05-01
Wage,wage_target_3,3,ElasticNet,"{""alpha"": 0.05, ""l1_ratio"": 0.5}",1,0.6244462107673269,0.49414069862423415,-0.23810280914357773,27,2010-05-01,2010-06-01,2012-08-01
Wage,wage_target_3,3,ElasticNet,"{""alpha"": 0.05, ""l1_ratio"": 0.5}",2,0.6340279082994759,0.5106257015278564,0.04635787071842534,27,2012-08-01,2012-09-01,2014-11-01
Wage,wage_target_3,3,ElasticNet,"{""alpha"": 0.05, ""l1_ratio"": 0.5}",3,0.5611512838861585,0.4431309199173591,0.20732871368017025,27,2014-11-01,2014-12-01,2017-02-01
Wage,wage_target_3,3,ElasticNet,"{""alpha"": 0.05, ""l1_ratio"": 0.5}",4,0.6300313760765076,0.5012205365442788,0.659462248128684,27,2017-02-01,2017-03-01,2019-05-01
Wage,wage_target_3,3,ElasticNet,"{""alpha"": 0.05, ""l1_ratio"": 0.8}",1,0.6178033850160051,0.48938396333718603,-0.2119011758311482,27,2010-05-01,2010-06-01,2012-08-01
Wage,wage_target_3,3,ElasticNet,"{""alpha"": 0.05, ""l1_ratio"": 0.8}",2,0.643261462127822,0.524926195312266,0.018379213831658303,27,2012-08-01,2012-09-01,2014-11-01
Wage,wage_target_3,3,ElasticNet,"{""alpha"": 0.05, ""l1_ratio"": 0.8}",3,0.5373692783013279,0.42330004908765706,0.27309296374816905,27,2014-11-01,2014-12-01,2017-02-01
Wage,wage_target_3,3,ElasticNet,"{""alpha"": 0.05, ""l1_ratio"": 0.8}",4,0.6157122612756482,0.4847440670893332,0.6747655715537346,27,2017-02-01,2017-03-01,2019-05-01
Wage,wage_target_3,3,ElasticNet,"{""alpha"": 0.05, ""l1_ratio"": 0.95}",1,0.6188970846575782,0.48962187062149165,-0.21619584026179028,27,2010-05-01,2010-06-01,2012-08-01
Wage,wage_target_3,3,ElasticNet,"{""alpha"": 0.05, ""l1_ratio"": 0.95}",2,0.6490546563434858,0.5323711168323452,0.0006186999056000397,27,2012-08-01,2012-09-01,2014-11-01
Wage,wage_target_3,3,ElasticNet,"{""alpha"": 0.05, ""l1_ratio"": 0.95}",3,0.5285330946322908,0.416472465447197,0.2968020801250334,27,2014-11-01,2014-12-01,2017-02-01
Wage,wage_target_3,3,ElasticNet,"{""alpha"": 0.05, ""l1_ratio"": 0.95}",4,0.6134243798340784,0.4833911798355838,0.6771781119224051,27,2017-02-01,2017-03-01,2019-05-01
