target,target_col,horizon,model,test_end,rmse,mae,oos_r2,fold_count
PCE,pce_target_6,6,Ridge,2025-06-01,0.21258440728298655,0.21258440728298655,0.9089179816873633,1
PCE,pce_target_6,6,Ridge,2025-07-01,0.39110763436774176,0.39110763436774176,-1.227640921870084,1
PCE,pce_target_12,12,ElasticNet,2024-07-01,1.1319953125294249,0.9805777718442429,-2.5518283773082255,1
PCE,pce_target_12,12,GradientBoosting,2024-07-01,2.9304380736767257,2.9285953469300368,-22.80278710504474,1
PCE,pce_target_12,12,Huber,2024-07-01,1.2069795519685085,1.034377446522307,-3.037964912422515,1
PCE,pce_target_12,12,OLS,2024-07-01,13.791974535726345,13.775443155755724,-526.2488109650351,1
PCE,pce_target_12,12,Persistence,2024-07-01,0.6006460731616088,0.5915903207546277,0.0,1
PCE,pce_target_12,12,RandomForest,2024-07-01,2.9437463733049767,2.941911982495789,-23.019474109087152,1
PCE,pce_target_12,12,Ridge,2024-07-01,1.2249487859539763,1.0138195241783183,-3.1590924958756563,1
Wage,wage_target_3,3,ElasticNet,2024-07-01,0.3209949946833121,0.28631606506735463,-0.1681252081212854,1
Wage,wage_target_3,3,ElasticNet,2024-11-01,0.3640772219885995,0.3537673499815581,0.32502366455892395,1
Wage,wage_target_3,3,ElasticNet,2025-02-01,0.7468049842276693,0.6995616894529533,-0.44579804664253597,1
Wage,wage_target_3,3,ElasticNet,2025-09-01,0.531337761372141,0.5009540199005538,-5.407535315320514,1
Wage,wage_target_3,3,GradientBoosting,2024-07-01,0.45205661521858415,0.35609540489497804,-1.3167465931302682,1
Wage,wage_target_3,3,GradientBoosting,2024-11-01,0.45637509112435876,0.4509801142363601,-0.06058479039119491,1
Wage,wage_target_3,3,GradientBoosting,2025-02-01,0.46338076047119814,0.45671077915487857,0.4433666615587897,1
Wage,wage_target_3,3,GradientBoosting,2025-09-01,0.7565588419610214,0.6910116864424878,-11.990775204746278,1
Wage,wage_target_3,3,Huber,2024-07-01,0.4715613259886948,0.39889685233781713,-1.5209790445881919,1
Wage,wage_target_3,3,Huber,2024-11-01,0.6382407592597895,0.5901221902618368,-1.0742953824659796,1
Wage,wage_target_3,3,Huber,2025-02-01,0.8385838969583358,0.8035769534307784,-0.8229982642038345,1
Wage,wage_target_3,3,Huber,2025-09-01,0.5890306678623115,0.5633675373124092,-6.874544815266418,1
Wage,wage_target_3,3,OLS,2024-07-01,0.2786797961863175,0.2773760299375374,0.11955173154187893,1
Wage,wage_target_3,3,OLS,2024-11-01,0.45301254080593345,0.41064759902722403,-0.045013687850706585,1
Wage,wage_target_3,3,OLS,2025-02-01,0.7974123408366512,0.7545428034336368,-0.6483867813194197,1
Wage,wage_target_3,3,OLS,2025-09-01,0.613767769481231,0.5878731017813692,-7.549836362352744,1
Wage,wage_target_3,3,Persistence,2024-07-01,0.2969980257351617,0.2784802434205427,0.0,1
Wage,wage_target_3,3,Persistence,2024-11-01,0.4431484507225595,0.4375904352424518,0.0,1
Wage,wage_target_3,3,Persistence,2025-02-01,0.621088361272558,0.45671077915487857,0.0,1
Wage,wage_target_3,3,Persistence,2025-09-01,0.209906156928504,0.16848998939460458,0.0,1
Wage,wage_target_3,3,RandomForest,2024-07-01,0.4441218981566874,0.3459667822880317,-1.2361310382639359,1
Wage,wage_target_3,3,RandomForest,2024-11-01,0.4522549067830337,0.4468101837997922,-0.04152117588712345,1
Wage,wage_target_3,3,RandomForest,2025-02-01,0.4571363020154062,0.45671077915487857,0.4582678134481113,1
Wage,wage_target_3,3,RandomForest,2025-09-01,0.7177027943668733,0.6971434713872835,-10.690657022593381,1
Wage,wage_target_3,3,Ridge,2024-07-01,0.3303641495876614,0.2870882844203335,-0.23731050503303242,1
Wage,wage_target_3,3,Ridge,2024-11-01,0.3389163229158129,0.33206022482579534,0.41509342802685056,1
Wage,wage_target_3,3,Ridge,2025-02-01,0.7110699548461192,0.6524436297869287,-0.31074399050996737,1
Wage,wage_target_3,3,Ridge,2025-09-01,0.5571320690987689,0.5295434696415766,-6.044756077749468,1
Wage,wage_target_6,6,ElasticNet,2023-07-01,0.7458962690573671,0.5902637965225976,-0.4469358975320423,1
Wage,wage_target_6,6,ElasticNet,2023-12-01,0.23610429291152563,0.21605644069685725,0.8039141189758411,1
Wage,wage_target_6,6,ElasticNet,2024-05-01,0.2238591844464292,0.22106489587328415,-0.6365802538052201,1
Wage,wage_target_6,6,ElasticNet,2025-03-01,0.5755709100474066,0.4489856945276638,0.035318535979673604,1
Wage,wage_target_6,6,ElasticNet,2025-09-01,0.18093131955765915,0.1798919512688295,0.8035613444618643,1
Wage,wage_target_6,6,GradientBoosting,2023-07-01,0.7912800661303176,0.6869640920846452,-0.6283691726425167,1
