model_name,target_name,fold_name,rmse_value,mae_value,row_count
ElasticNet,price_target_3,2,1.0420408067258193,0.8965171388781882,47
ARIMAX,price_target_3,2,1.5410285134930524,1.3201217151537776,47
Persistence,price_target_3,3,1.184638446247296,0.9058372889736755,47
OLS,price_target_3,3,1.650834508109181,1.3957645954292908,47
Ridge,price_target_3,3,1.6540935134024353,1.390460783932878,47
ElasticNet,price_target_3,3,1.4946920902681007,1.2402636311330981,47
ARIMAX,price_target_3,3,2.623591587756172,2.490794250979519,47
Persistence,price_target_3,4,2.0762273420896262,1.47589614648809,47
OLS,price_target_3,4,2.156399120224883,1.4450803822515308,47
Ridge,price_target_3,4,2.051335252911633,1.3517271636491546,47
ElasticNet,price_target_3,4,1.8149699349036827,1.161616290981336,47
ARIMAX,price_target_3,4,1.8964815725052049,1.4447730943608759,47
Persistence,price_target_3,5,4.619384386168561,4.1979418797592025,47
OLS,price_target_3,5,1.9447208011438737,1.6359533422260966,47
Ridge,price_target_3,5,1.998504110351386,1.6962582556718084,47
ElasticNet,price_target_3,5,2.2454406718229474,1.9791799689751575,47
ARIMAX,price_target_3,5,1.6455848917130875,1.27434272831508,47
Persistence,price_target_6,1,2.699973246599611,2.111339719573666,47
OLS,price_target_6,1,2.0114089201585847,1.8081118081473198,47
Ridge,price_target_6,1,1.8469750892952363,1.675584927221447,47
ElasticNet,price_target_6,1,1.7820210427870047,1.495999126524871,47
ARIMAX,price_target_6,1,1.224898465468331,1.0294055444508536,47
Persistence,price_target_6,2,1.2180921440930226,0.9157472054606303,47
OLS,price_target_6,2,2.0283889104723896,1.701293909524796,47
Ridge,price_target_6,2,1.7636862727188765,1.5338530848006908,47
ElasticNet,price_target_6,2,1.3525495545497053,1.214380765080923,47
ARIMAX,price_target_6,2,2.0350261741923763,1.6440956978549681,47
Persistence,price_target_6,3,1.184638446247296,0.9058372889736755,47
OLS,price_target_6,3,2.220113132504808,1.9570903474680503,47
Ridge,price_target_6,3,2.1075064870019884,1.8406856347144605,47
ElasticNet,price_target_6,3,1.8168630504910819,1.588147772968683,47
ARIMAX,price_target_6,3,2.354779170094513,2.1488906377388606,47
Persistence,price_target_6,4,2.0762273420896262,1.47589614648809,47
OLS,price_target_6,4,2.174655882390827,1.398037472375387,47
Ridge,price_target_6,4,2.1781690287542084,1.3981609667248363,47
ElasticNet,price_target_6,4,2.351103383010706,1.4625640442555554,47
ARIMAX,price_target_6,4,2.419903113215239,1.6592481181487886,47
Persistence,price_target_6,5,4.619384386168561,4.1979418797592025,47
OLS,price_target_6,5,2.2374272234951684,1.9148604374573681,47
