label,y_col,term,coef,std_error,t_stat,p_value,r2,adj_r2,obs,model_name,horizon
Post-Pandemic (2021-06+),cpi_forward_6,log_jolts_ratio,-1.9010254659750818,2.317516615464907,-0.8202855821138203,0.41205332366314096,0.20791734514607463,0.17491390119382766,51,cpi_persist,6
Post-Pandemic (2021-06+),cpi_forward_6,cpi_12m_pct_lag_1,0.6919030913139748,0.40845027986690263,1.6939713973006405,0.0902707183521834,0.20791734514607463,0.17491390119382766,51,cpi_persist,6
Pre-2020,cpi_forward_12,const,2.083188950779391,0.5473804344614631,3.8057424409568523,0.00014137944846618716,0.003458994313534358,-0.005438693237237668,227,cpi_persist,12
Pre-2020,cpi_forward_12,log_jolts_ratio,-0.041061351615245587,0.29100778714678077,-0.1411005252396725,0.8877905287224083,0.003458994313534358,-0.005438693237237668,227,cpi_persist,12
Pre-2020,cpi_forward_12,cpi_12m_pct_lag_1,-0.0528231765635087,0.21509125927735384,-0.24558495189892754,0.8060035391923275,0.003458994313534358,-0.005438693237237668,227,cpi_persist,12
Post-Pandemic (2021-06+),cpi_forward_12,const,1.786575851253951,0.9574621821969914,1.8659492609457184,0.0620484646376419,0.1845584172395036,0.14572786567947993,45,cpi_persist,12
Post-Pandemic (2021-06+),cpi_forward_12,log_jolts_ratio,-4.193439288972741,3.6926969504459968,-1.1356034208185608,0.2561225765574585,0.1845584172395036,0.14572786567947993,45,cpi_persist,12
Post-Pandemic (2021-06+),cpi_forward_12,cpi_12m_pct_lag_1,0.7257518056827514,0.43497173558100594,1.6685033677265055,0.09521584395320883,0.1845584172395036,0.14572786567947993,45,cpi_persist,12
Pre-2020,pce_forward_3,const,2.090739920569622,0.7110254551658177,2.940457202171534,0.0032772827221099828,0.008783571656921674,-6.657502471285603e-05,227,pce_persist,3
Pre-2020,pce_forward_3,log_jolts_ratio,0.03583456926836505,0.3496743507204009,0.10247983357812344,0.9183758190398387,0.008783571656921674,-6.657502471285603e-05,227,pce_persist,3
Pre-2020,pce_forward_3,pce_12m_pct_lag_1,-0.1803952290256682,0.3214722717268869,-0.5611533089825131,0.5746930295088593,0.008783571656921674,-6.657502471285603e-05,227,pce_persist,3
Post-Pandemic (2021-06+),pce_forward_3,const,0.5698119727734762,0.728046323506077,0.7826589522894829,0.4338274128066235,0.31659190195683995,0.2892555780351135,53,pce_persist,3
Post-Pandemic (2021-06+),pce_forward_3,log_jolts_ratio,-1.9631306001414155,1.5331979736556571,-1.2804155979026342,0.20039901113676195,0.31659190195683995,0.2892555780351135,53,pce_persist,3
Post-Pandemic (2021-06+),pce_forward_3,pce_12m_pct_lag_1,0.9281898253701536,0.3194612187787999,2.9054851443888317,0.003666842550641927,0.31659190195683995,0.2892555780351135,53,pce_persist,3
Pre-2020,pce_forward_6,const,1.7722012971988912,0.6110143614640666,2.9004249473817207,0.00372657069074617,0.006939331548097338,-0.0019272815630804185,227,pce_persist,6
Pre-2020,pce_forward_6,log_jolts_ratio,-0.13510379123729294,0.2883230812553071,-0.4685847232523848,0.6393664989917512,0.006939331548097338,-0.0019272815630804185,227,pce_persist,6
Pre-2020,pce_forward_6,pce_12m_pct_lag_1,-0.08388032262188144,0.2995196488910729,-0.2800494823375892,0.7794395416793135,0.006939331548097338,-0.0019272815630804185,227,pce_persist,6
Post-Pandemic (2021-06+),pce_forward_6,const,0.5166670710518171,0.7896071639966373,0.6543343254849413,0.5128964358617955,0.30127362400706925,0.2721600250073638,51,pce_persist,6
Post-Pandemic (2021-06+),pce_forward_6,log_jolts_ratio,-3.9792736940401117,1.9379605623506702,-2.0533305844023,0.04004052655770587,0.30127362400706925,0.2721600250073638,51,pce_persist,6
Post-Pandemic (2021-06+),pce_forward_6,pce_12m_pct_lag_1,1.0835886389868294,0.4014975829499988,2.6988671538821594,0.00695759437769638,0.30127362400706925,0.2721600250073638,51,pce_persist,6
Pre-2020,pce_forward_12,const,1.5456847236712619,0.4267908924244538,3.621644114500085,0.00029273665387992464,0.010706376181982336,0.0018733973978929397,227,pce_persist,12
Pre-2020,pce_forward_12,log_jolts_ratio,-0.19092090462212544,0.19736894382143408,-0.967330021256321,0.3333790804904331,0.010706376181982336,0.0018733973978929397,227,pce_persist,12
Pre-2020,pce_forward_12,pce_12m_pct_lag_1,0.03071010234429305,0.2217119358745416,0.13851352757873503,0.8898345792064272,0.010706376181982336,0.0018733973978929397,227,pce_persist,12
Post-Pandemic (2021-06+),pce_forward_12,const,1.0616956403967528,0.7853429834638856,1.3518878537807364,0.17641119370348735,0.2726007364255576,0.23796267625534606,45,pce_persist,12
Post-Pandemic (2021-06+),pce_forward_12,log_jolts_ratio,-5.504838028897721,3.2351947984513902,-1.7015476259830642,0.08884020264997447,0.2726007364255576,0.23796267625534606,45,pce_persist,12
Post-Pandemic (2021-06+),pce_forward_12,pce_12m_pct_lag_1,1.0357652405490685,0.4848222090223415,2.136381587464238,0.03264832360198509,0.2726007364255576,0.23796267625534606,45,pce_persist,12
