target,target_col,horizon,model,regime,rmse,mae,oos_r2,row_count,train_end,test_start,test_end,fold_id
Wage,wage_target_6,6,ElasticNet,post,0.23610429291152563,0.21605644069685725,0.8039141189758411,2,2023-07-01,2023-11-01,2023-12-01,2
Wage,wage_target_6,6,Huber,post,0.4049773093019257,0.38391113710375935,0.42310079861076744,2,2023-07-01,2023-11-01,2023-12-01,2
Wage,wage_target_6,6,RandomForest,post,0.41487410045716705,0.4148112355141409,0.39455986928329934,2,2023-07-01,2023-11-01,2023-12-01,2
Wage,wage_target_6,6,GradientBoosting,post,0.40907345597430084,0.4090096994710306,0.41137167550009757,2,2023-07-01,2023-11-01,2023-12-01,2
Wage,wage_target_6,6,Persistence,post,0.174987192666464,0.16968130685497407,0.0,2,2023-12-01,2024-03-01,2024-05-01,3
Wage,wage_target_6,6,OLS,post,0.20509647438293205,0.20303690401434915,-0.3737378432829386,2,2023-12-01,2024-03-01,2024-05-01,3
Wage,wage_target_6,6,Ridge,post,0.22781100848661975,0.22609721448882603,-0.6948719244472701,2,2023-12-01,2024-03-01,2024-05-01,3
Wage,wage_target_6,6,ElasticNet,post,0.2238591844464292,0.22106489587328415,-0.6365802538052201,2,2023-12-01,2024-03-01,2024-05-01,3
Wage,wage_target_6,6,Huber,post,0.2902711011287382,0.2875605557605514,-1.7516619169738217,2,2023-12-01,2024-03-01,2024-05-01,3
Wage,wage_target_6,6,RandomForest,post,0.49413390484347847,0.4922799449648396,-6.974010078048839,2,2023-12-01,2024-03-01,2024-05-01,3
Wage,wage_target_6,6,GradientBoosting,post,0.19747757678478012,0.19279165342802163,-0.273570677206314,2,2023-12-01,2024-03-01,2024-05-01,3
Wage,wage_target_6,6,Persistence,post,0.5860124856185557,0.5226500831589043,0.0,2,2024-05-01,2024-07-01,2025-03-01,4
Wage,wage_target_6,6,OLS,post,0.4788614567606381,0.4133655962636571,0.3322621010106007,2,2024-05-01,2024-07-01,2025-03-01,4
Wage,wage_target_6,6,Ridge,post,0.5574376203181466,0.45223603905005305,0.09514537287567426,2,2024-05-01,2024-07-01,2025-03-01,4
Wage,wage_target_6,6,ElasticNet,post,0.5755709100474066,0.4489856945276638,0.035318535979673604,2,2024-05-01,2024-07-01,2025-03-01,4
Wage,wage_target_6,6,Huber,post,0.49862592927220883,0.38920908283591915,0.2760043131082417,2,2024-05-01,2024-07-01,2025-03-01,4
Wage,wage_target_6,6,RandomForest,post,0.7643194980311101,0.5489721240539058,-0.7011246549222763,2,2024-05-01,2024-07-01,2025-03-01,4
Wage,wage_target_6,6,GradientBoosting,post,0.9177372478042968,0.7046891967551825,-1.4525788497340346,2,2024-05-01,2024-07-01,2025-03-01,4
Wage,wage_target_6,6,Persistence,post,0.4082256357273016,0.4075862368940084,0.0,2,2025-03-01,2025-08-01,2025-09-01,5
Wage,wage_target_6,6,OLS,post,0.0935483573786157,0.08841961364887951,0.9474864009257864,2,2025-03-01,2025-08-01,2025-09-01,5
Wage,wage_target_6,6,Ridge,post,0.20223459294444363,0.20103287590598073,0.7545797792701203,2,2025-03-01,2025-08-01,2025-09-01,5
Wage,wage_target_6,6,ElasticNet,post,0.18093131955765915,0.1798919512688295,0.8035613444618643,2,2025-03-01,2025-08-01,2025-09-01,5
Wage,wage_target_6,6,Huber,post,0.151941607395934,0.14936728817271905,0.8614671129933544,2,2025-03-01,2025-08-01,2025-09-01,5
Wage,wage_target_6,6,RandomForest,post,0.42610804461703494,0.42549551881049497,-0.08952931227741345,2,2025-03-01,2025-08-01,2025-09-01,5
Wage,wage_target_6,6,GradientBoosting,post,0.27120788166478804,0.2702444928533436,0.5586287252660566,2,2025-03-01,2025-08-01,2025-09-01,5
Wage,wage_target_12,12,Persistence,post,0.19982239943318045,0.19337433861508657,0.0,5,2022-11-01,2024-01-01,2024-10-01,1
Wage,wage_target_12,12,OLS,post,0.6438251201386717,0.6184873452569735,-9.381198514359486,5,2022-11-01,2024-01-01,2024-10-01,1
Wage,wage_target_12,12,Ridge,post,0.6418886549197391,0.611551861175905,-9.318844321957105,5,2022-11-01,2024-01-01,2024-10-01,1
Wage,wage_target_12,12,ElasticNet,post,1.3002422235122455,1.2667870116475324,-41.340910303914114,5,2022-11-01,2024-01-01,2024-10-01,1
Wage,wage_target_12,12,Huber,post,0.4348704473043066,0.40236576285457043,-3.736215459229456,5,2022-11-01,2024-01-01,2024-10-01,1
Wage,wage_target_12,12,RandomForest,post,0.6927806160875022,0.6909483523000599,-11.01996259403309,5,2022-11-01,2024-01-01,2024-10-01,1
Wage,wage_target_12,12,GradientBoosting,post,0.703549062687432,0.7017449159972253,-11.396538637817311,5,2022-11-01,2024-01-01,2024-10-01,1
CPI,cpi_target_6,6,Persistence,post,0.4580969010405056,0.4580969010405056,0.0,1,2024-02-01,2024-03-01,2024-03-01,1
CPI,cpi_target_6,6,OLS,post,0.07619260073238188,0.07619260073238188,0.9723362603895467,1,2024-02-01,2024-03-01,2024-03-01,1
CPI,cpi_target_6,6,Ridge,post,0.6521760230954192,0.6521760230954192,-1.0268189149697813,1,2024-02-01,2024-03-01,2024-03-01,1
CPI,cpi_target_6,6,ElasticNet,post,0.2879972710479839,0.2879972710479839,0.604758956303243,1,2024-02-01,2024-03-01,2024-03-01,1
CPI,cpi_target_6,6,Huber,post,0.18520299770713855,0.18520299770713855,0.8365513581818246,1,2024-02-01,2024-03-01,2024-03-01,1
CPI,cpi_target_6,6,RandomForest,post,1.9063410706653579,1.9063410706653579,-16.317552038222214,1,2024-02-01,2024-03-01,2024-03-01,1
CPI,cpi_target_6,6,GradientBoosting,post,1.8851610218300552,1.8851610218300552,-15.934882802100553,1,2024-02-01,2024-03-01,2024-03-01,1
CPI,cpi_target_6,6,Persistence,post,0.6072857277477084,0.6072857277477084,0.0,1,2024-03-01,2024-05-01,2024-05-01,2
CPI,cpi_target_6,6,OLS,post,1.1381470913119067,1.1381470913119067,-2.5124539286743546,1,2024-03-01,2024-05-01,2024-05-01,2
CPI,cpi_target_6,6,Ridge,post,0.3836993099378738,0.3836993099378738,0.6007950781442946,1,2024-03-01,2024-05-01,2024-05-01,2
CPI,cpi_target_6,6,ElasticNet,post,0.7647788643230657,0.7647788643230657,-0.585935808638002,1,2024-03-01,2024-05-01,2024-05-01,2
