label,y_col,term,coef,std_error,t_stat,p_value,r2,adj_r2,obs,model_name
Pandemic Shock (2020-2021H1),cpi_forward_3,cpi_12m_pct_lag_1,-0.020234476330070805,1.1157874237716778,-0.01813470549943334,0.9855313915142636,0.0658719306906026,-0.0675749363535969,17,phase_compare
Post-Pandemic (2021-06+),cpi_forward_3,const,1.5522347384435948,0.983975113599552,1.5775142246893321,0.11467725166739512,0.22111316459644859,0.18932186519222194,52,phase_compare
Post-Pandemic (2021-06+),cpi_forward_3,log_jolts_ratio,0.4362114732262764,2.298184508714575,0.18980698528433607,0.8494603819391053,0.22111316459644859,0.18932186519222194,52,phase_compare
Post-Pandemic (2021-06+),cpi_forward_3,cpi_12m_pct_lag_1,0.5373349135031633,0.3678993661286619,1.460548625450054,0.1441393538888527,0.22111316459644859,0.18932186519222194,52,phase_compare
Pandemic Shock (2020-2021H1),cpi_forward_6,const,3.9839816278985656,2.063630991790149,1.9305688099026657,0.05353639812416092,0.003518682162923392,-0.13883579181380168,17,phase_compare
Pandemic Shock (2020-2021H1),cpi_forward_6,log_jolts_ratio,-0.16504280016546913,1.6174742548453898,-0.10203735835118138,0.9187270221465208,0.003518682162923392,-0.13883579181380168,17,phase_compare
Pandemic Shock (2020-2021H1),cpi_forward_6,cpi_12m_pct_lag_1,0.2074699138230025,0.7895254854484144,0.2627779820244423,0.7927217070926293,0.003518682162923392,-0.13883579181380168,17,phase_compare
Post-Pandemic (2021-06+),cpi_forward_6,const,1.4408703864266381,0.9908496429405756,1.4541766217430545,0.14589734477357105,0.20791734514607463,0.17491390119382766,51,phase_compare
Post-Pandemic (2021-06+),cpi_forward_6,log_jolts_ratio,-1.9010254659750818,2.49554756282574,-0.7617668740492874,0.44619915441631974,0.20791734514607463,0.17491390119382766,51,phase_compare
Post-Pandemic (2021-06+),cpi_forward_6,cpi_12m_pct_lag_1,0.6919030913139748,0.4084692277161381,1.6938928182732198,0.09028565190416193,0.20791734514607463,0.17491390119382766,51,phase_compare
Pandemic Shock (2020-2021H1),cpi_forward_12,const,5.754082002922701,1.7192004819381823,3.3469522975212858,0.00081705269022056,0.0025258241197652076,-0.13997048672026824,17,phase_compare
Pandemic Shock (2020-2021H1),cpi_forward_12,log_jolts_ratio,0.27643354006442666,1.3617452187417134,0.20299945706426506,0.839135456577354,0.0025258241197652076,-0.13997048672026824,17,phase_compare
Pandemic Shock (2020-2021H1),cpi_forward_12,cpi_12m_pct_lag_1,-0.06036788440403629,0.7129611356912028,-0.08467205487366534,0.9325221131430697,0.0025258241197652076,-0.13997048672026824,17,phase_compare
Post-Pandemic (2021-06+),cpi_forward_12,const,1.786575851253951,0.8537207412321476,2.092693506163905,0.036376523324391,0.1845584172395036,0.14572786567947993,45,phase_compare
Post-Pandemic (2021-06+),cpi_forward_12,log_jolts_ratio,-4.193439288972741,3.6603901966894457,-1.145626303109816,0.2519498090618012,0.1845584172395036,0.14572786567947993,45,phase_compare
Post-Pandemic (2021-06+),cpi_forward_12,cpi_12m_pct_lag_1,0.7257518056827514,0.4195599868023831,1.7297927078651276,0.08366731776901354,0.1845584172395036,0.14572786567947993,45,phase_compare
Pandemic Shock (2020-2021H1),pce_forward_3,const,-1.119856839780354,2.8552221488246494,-0.39221355866875107,0.6949004267469352,0.1773800847498107,0.0598629539997837,17,phase_compare
Pandemic Shock (2020-2021H1),pce_forward_3,log_jolts_ratio,-2.7239122263258264,1.9628905531442842,-1.387704587992687,0.16522701838758513,0.1773800847498107,0.0598629539997837,17,phase_compare
Pandemic Shock (2020-2021H1),pce_forward_3,pce_12m_pct_lag_1,2.0554155756612946,0.707415986278591,2.9055260490704278,0.0036663632983992387,0.1773800847498107,0.0598629539997837,17,phase_compare
Post-Pandemic (2021-06+),pce_forward_3,const,0.5698119727734762,0.9190633722789588,0.6199920375028545,0.5352630292036018,0.31659190195683995,0.2892555780351135,53,phase_compare
Post-Pandemic (2021-06+),pce_forward_3,log_jolts_ratio,-1.9631306001414155,1.8091395385041746,-1.0851183993052096,0.2778692191949349,0.31659190195683995,0.2892555780351135,53,phase_compare
Post-Pandemic (2021-06+),pce_forward_3,pce_12m_pct_lag_1,0.9281898253701536,0.38235934439654734,2.427532735822253,0.01520191485910683,0.31659190195683995,0.2892555780351135,53,phase_compare
Pandemic Shock (2020-2021H1),pce_forward_6,const,1.44094128704441,2.2405323921567692,0.6431245056257986,0.5201433145834544,0.15107532246443212,0.02980036853077961,17,phase_compare
Pandemic Shock (2020-2021H1),pce_forward_6,log_jolts_ratio,-0.9135241985736247,1.4419609412447452,-0.6335290869841748,0.5263881924380356,0.15107532246443212,0.02980036853077961,17,phase_compare
Pandemic Shock (2020-2021H1),pce_forward_6,pce_12m_pct_lag_1,1.329161049120383,0.5893480643286305,2.255307397394318,0.024114040632265722,0.15107532246443212,0.02980036853077961,17,phase_compare
Post-Pandemic (2021-06+),pce_forward_6,const,0.5166670710518171,0.8540574770098308,0.6049558547988333,0.5452083291287072,0.30127362400706925,0.2721600250073638,51,phase_compare
Post-Pandemic (2021-06+),pce_forward_6,log_jolts_ratio,-3.9792736940401117,2.0807670590534437,-1.9124070984910309,0.05582399822302254,0.30127362400706925,0.2721600250073638,51,phase_compare
Post-Pandemic (2021-06+),pce_forward_6,pce_12m_pct_lag_1,1.0835886389868294,0.4147757974299387,2.6124683400068984,0.00898910177107438,0.30127362400706925,0.2721600250073638,51,phase_compare
