target,target_col,horizon,model,regime,rmse,mae,oos_r2,row_count,fold_count
Wage,wage_target_3,3,Persistence,post,0.3927852486646958,0.3353178618031194,0.0,8,4
Wage,wage_target_3,3,Ridge,post,0.48437062411209064,0.45028390216865855,-1.5444292863164042,8,4
Wage,wage_target_3,3,ElasticNet,post,0.4908037405679304,0.46014978110060495,-1.4241087263813528,8,4
Wage,wage_target_3,3,RandomForest,post,0.5178039753305002,0.4866578041574965,-2.877510355824082,8,4
Wage,wage_target_3,3,GradientBoosting,post,0.5320928271937906,0.4886994961821761,-3.231184981677238,8,4
Wage,wage_target_3,3,OLS,post,0.5357181118275333,0.5076098835449419,-2.030921274995248,8,4
Wage,wage_target_3,3,Huber,post,0.6343541625172829,0.5889908833357104,-2.573204376631106,8,4
Wage,wage_target_6,6,Ridge,post,0.372391199420894,0.31518850249036817,0.17267134823863856,10,5
Wage,wage_target_6,6,ElasticNet,post,0.3924723952040775,0.33125255577784646,0.11185556961602332,10,5
Wage,wage_target_6,6,OLS,post,0.39873883403543026,0.34177315293574917,0.10540137070734582,10,5
Wage,wage_target_6,6,Persistence,post,0.46450048200059674,0.422591733433668,0.0,10,5
Wage,wage_target_6,6,Huber,post,0.46604558408245794,0.401856870867307,-0.342270924671602,10,5
Wage,wage_target_6,6,GradientBoosting,post,0.5173552456716968,0.4527398269184447,-0.27690365976334225,10,5
Wage,wage_target_6,6,RandomForest,post,0.5771683520730189,0.5125806535150211,-1.5956950789681,10,5
Wage,wage_target_12,12,Persistence,post,0.19982239943318045,0.19337433861508657,0.0,5,1
Wage,wage_target_12,12,Huber,post,0.4348704473043066,0.40236576285457043,-3.736215459229456,5,1
Wage,wage_target_12,12,Ridge,post,0.6418886549197391,0.611551861175905,-9.318844321957105,5,1
Wage,wage_target_12,12,OLS,post,0.6438251201386717,0.6184873452569735,-9.381198514359486,5,1
Wage,wage_target_12,12,RandomForest,post,0.6927806160875022,0.6909483523000599,-11.01996259403309,5,1
Wage,wage_target_12,12,GradientBoosting,post,0.703549062687432,0.7017449159972253,-11.396538637817311,5,1
Wage,wage_target_12,12,ElasticNet,post,1.3002422235122455,1.2667870116475324,-41.340910303914114,5,1
Wage,wage_target_3,3,Ridge,pre,0.46337772570223346,0.38077988518319056,0.4033772757803795,28,2
Wage,wage_target_3,3,Huber,pre,0.46458174717262113,0.37467253733515293,0.4014329847643561,28,2
Wage,wage_target_3,3,OLS,pre,0.4650633628983343,0.3838153937822218,0.39906970105115047,28,2
Wage,wage_target_3,3,ElasticNet,pre,0.4655393632979406,0.3804217347279194,0.39895676448880013,28,2
Wage,wage_target_3,3,GradientBoosting,pre,0.5067536546655824,0.41943529981057387,0.23752034309931486,28,2
Wage,wage_target_3,3,RandomForest,pre,0.5175212002763511,0.3836071991974377,0.2549611066017363,28,2
Wage,wage_target_3,3,Persistence,pre,0.6024733058174012,0.4950140383187751,0.0,28,2
Wage,wage_target_6,6,Huber,pre,0.1952795617841522,0.17494188351973053,0.651814502776545,11,1
Wage,wage_target_6,6,OLS,pre,0.1992235200163553,0.1741824694712138,0.6376082413874571,11,1
Wage,wage_target_6,6,Ridge,pre,0.20164791790146142,0.17506164798734156,0.6287345135517189,11,1
Wage,wage_target_6,6,ElasticNet,pre,0.20880855636980852,0.17736802507257252,0.6018986267245952,11,1
Wage,wage_target_6,6,RandomForest,pre,0.23469880036383786,0.18650752018178726,0.4970569240352748,11,1
Wage,wage_target_6,6,Persistence,pre,0.33094166913044615,0.2508769411019397,0.0,11,1
Wage,wage_target_6,6,GradientBoosting,pre,0.4010748027383243,0.32184007196247094,-0.46874990392632054,11,1
