feature,missing_count,missing_pct,mean_all,std_all,mean_Pre-2020,std_Pre-2020,mean_Pandemic Shock (2020-2021H1),std_Pandemic Shock (2020-2021H1),mean_Post-Pandemic (2021-06+),std_Post-Pandemic (2021-06+)
hy_oas_lag_3,3,0.95,5.354206479695853,2.599109177230858,5.8111514856349755,2.7710437963049954,5.044191494779731,1.5035239208685187,3.6080079769162308,0.6986905148644544
unemployment_rate_chg_3,3,0.95,0.0035143769968051164,1.085490161917446,-0.005485232067510537,0.3377572415657977,0.4235294117647058,4.549935358299707,-0.08135593220338981,0.3224232473602674
unemployment_rate_lag_3,3,0.95,5.636102236421725,1.9410726323023535,5.910126582278481,1.8024885060431057,7.094117647058824,3.4857693892875528,4.115254237288136,0.6429494427815574
unemployment_rate_chg_6,6,1.9,0.007419354838709679,1.3981413175930202,-0.009829059829059817,0.5980203147337935,0.9235294117647059,5.503354591947159,-0.18813559322033901,0.5801559676627728
unemployment_rate_lag_6,6,1.9,5.648064516129032,1.9466125574696758,5.93974358974359,1.794747205190227,6.594117647058823,3.75307716884347,4.21864406779661,0.8234650456897505
jolts_ratio,11,3.48,0.7203154130325371,0.4336015785567933,0.5593969722668177,0.2841102905719677,0.6891918737435562,0.30924734030746476,1.353864957155629,0.3618216131575184
log_jolts_ratio,11,3.48,-0.5112311129583504,0.6229391193499093,-0.7139951587685732,0.5311609867200404,-0.4842589367342268,0.5165259611662105,0.26799667508793656,0.2665686304373492
quits_rate,11,3.48,2.0081967213114753,0.35831067542119616,1.9074235807860263,0.29998084670337893,2.205882352941177,0.3111884241004438,2.3423728813559324,0.3568073902466961
jolts_ratio_lag_1,12,3.8,0.7196947569939433,0.43418077693556045,0.5568305499482868,0.2820625596693019,0.6932857123654501,0.3150788178343639,1.3566776886057075,0.3589371911787766
log_jolts_ratio_chg_1,12,3.8,-0.00022814696879562777,0.10793872584837033,0.0010392050641816095,0.06158128296340407,-0.003690204672868954,0.39113686935184766,-0.0041281687069238135,0.061597265086802785
log_jolts_ratio_lag_1,12,3.8,-0.512598926317602,0.6235072878681197,-0.7177188389000893,0.5293256193603718,-0.4805687320613579,0.5209555603885319,0.270838815486651,0.2635034490459285
quits_rate_chg_1,12,3.8,-0.0016447368421052646,0.10194766067331908,0.0004385964912280686,0.08879903907561595,0.01764705882352943,0.2007339474206065,-0.015254237288135599,0.10956585064830902
quits_rate_lag_1,12,3.8,2.0085526315789477,0.3588474544574752,1.9057017543859651,0.2995046403654421,2.1882352941176473,0.2955553098431334,2.3542372881355935,0.35346659301654787
log_jolts_ratio_std_3,13,4.11,0.05119567144695282,0.0732502779634373,0.04165455722525912,0.024190935488347186,0.20561863121765894,0.25327365565482707,0.043409953010045466,0.023549436647905563
jolts_ratio_lag_3,14,4.43,0.7184411140020819,0.4353456612683387,0.5510708633268555,0.2765097693158212,0.7278415611427098,0.35340157436166236,1.356845674192091,0.35881910929996297
log_jolts_ratio_chg_3,14,4.43,0.00023763209642208716,0.19283519339797345,0.004122957743443758,0.1039249824473174,-0.0365672604994191,0.7073202611536429,-0.00404034115946942,0.11221651458927136
log_jolts_ratio_lag_3,14,4.43,-0.5153617281359577,0.6246442091561853,-0.7257367414220489,0.5246979130361132,-0.44769167623480777,0.5540933978616333,0.270983392547721,0.2634535906747419
quits_rate_chg_3,14,4.43,-0.003973509933774835,0.1377950689376069,0.0,0.10241527663824813,0.05294117647058828,0.36762352865877534,-0.03559322033898306,0.13615750497177992
quits_rate_lag_3,14,4.43,2.0092715231788083,0.35992819390507863,1.9022123893805314,0.29850660744825314,2.152941176470588,0.255239218819384,2.3779661016949154,0.3459458780723234
jolts_ratio_lag_6,17,5.38,0.7165009003796313,0.43706782118655707,0.5423069462252331,0.26770394830656724,0.8160153906435738,0.3977638046570441,1.3462213315990168,0.37494754579866857
log_jolts_ratio_chg_6,17,5.38,0.002620208078978316,0.28191083684582463,0.010701487185466884,0.18502965994479714,-0.1319687005522144,0.8941151426432579,0.010855567502424515,0.22610670258388632
log_jolts_ratio_lag_6,17,5.38,-0.5195915002978617,0.6263161561334201,-0.7379764087411466,0.5173804374205042,-0.35229023618201244,0.6076824343630516,0.2576239758526995,0.2880422806672627
quits_rate_chg_6,17,5.38,-0.008026755852842809,0.1794915991935303,-3.982862868610427e-18,0.13355836865519824,0.05882352941176476,0.43740545196849645,-0.057627118644067804,0.2010347283693048
quits_rate_lag_6,17,5.38,2.009364548494983,0.36173416795925517,1.8964125560538119,0.29620064149460507,2.1470588235294117,0.25029394483992096,2.3966101694915256,0.3347495727353845
log_jolts_ratio_std_6,20,6.33,0.07465063413338383,0.09529768260782304,0.05737911369735355,0.03571929194395757,0.32893330035667995,0.26678485736402685,0.06639636598565186,0.03990706267300748
log_jolts_ratio_std_12,26,8.23,0.11911738246703439,0.122982150234052,0.09082379435398133,0.06432454389006305,0.467121613122932,0.22444393078034172,0.12369793314876722,0.08951044771629356
