target,target_col,horizon,model,regime,term,coefficient,std_error,t_value,p_value,row_count,r_squared
Wage,wage_target_6,6,Pooled Interaction,Pre/Post Pooled,fed_funds,-0.009784342628041356,0.030277417377411513,-0.32315644713280506,0.7465767629110049,85,0.6718895416952204
Wage,wage_target_6,6,Pooled Interaction,Pre/Post Pooled,hy_oas,-0.02154726150785455,0.020953853665449787,-1.028319747378174,0.3037994449683422,85,0.6718895416952204
Wage,wage_target_6,6,Pooled Interaction,Pre/Post Pooled,post_regime,-0.0330909669625028,0.37782809567926995,-0.08758207063191246,0.9302088529742569,85,0.6718895416952204
Wage,wage_target_6,6,Pooled Interaction,Pre/Post Pooled,log_jolts_ratio_x_post,-0.2852622984765707,0.29465350430022597,-0.9681279683200833,0.33298046343264787,85,0.6718895416952204
Wage,wage_target_12,12,Pooled Interaction,Pre/Post Pooled,const,0.6524396340300722,0.3033826925523801,2.1505499491122957,0.0315117394713108,31,0.7385660000233021
Wage,wage_target_12,12,Pooled Interaction,Pre/Post Pooled,log_jolts_ratio,0.7994194285338905,0.36362641827567577,2.19846355587901,0.027916088886641124,31,0.7385660000233021
Wage,wage_target_12,12,Pooled Interaction,Pre/Post Pooled,wage_target_12_lag,0.7481112006465549,0.10216307846295622,7.322715915591913,2.430018798054863e-13,31,0.7385660000233021
Wage,wage_target_12,12,Pooled Interaction,Pre/Post Pooled,fed_funds,0.05339965983769137,0.04780148515546429,1.1171129864275178,0.2639460185617337,31,0.7385660000233021
Wage,wage_target_12,12,Pooled Interaction,Pre/Post Pooled,hy_oas,0.15212522161574898,0.10976580116209654,1.3859072680670204,0.16577522121130683,31,0.7385660000233021
Wage,wage_target_12,12,Pooled Interaction,Pre/Post Pooled,post_regime,-0.4681928677823213,0.27974928063113536,-1.6736159847347705,0.0942060949517322,31,0.7385660000233021
Wage,wage_target_12,12,Pooled Interaction,Pre/Post Pooled,log_jolts_ratio_x_post,-0.9390769785103086,0.779111714793291,-1.2053174925748082,0.22808075922832483,31,0.7385660000233021
CPI,cpi_target_3,3,Pooled Interaction,Pre/Post Pooled,const,-0.5079453443268638,0.4651901193626329,-1.0919091424874001,0.2748730387996855,30,0.710979789489443
CPI,cpi_target_3,3,Pooled Interaction,Pre/Post Pooled,log_jolts_ratio,-0.7671798399615366,0.3967859729716637,-1.9334852848145527,0.0531764441030982,30,0.710979789489443
CPI,cpi_target_3,3,Pooled Interaction,Pre/Post Pooled,cpi_target_3_lag,0.667013193437735,0.1286426786212427,5.185007033331405,2.160067134298841e-07,30,0.710979789489443
CPI,cpi_target_3,3,Pooled Interaction,Pre/Post Pooled,fed_funds,0.05821086760601024,0.15071653927851528,0.38622746969023747,0.6993282112638697,30,0.710979789489443
CPI,cpi_target_3,3,Pooled Interaction,Pre/Post Pooled,hy_oas,0.09647839759646433,0.07269645520055584,1.3271403307121177,0.18446226626272155,30,0.710979789489443
CPI,cpi_target_3,3,Pooled Interaction,Pre/Post Pooled,post_regime,-1.0705082360233527,0.8260994661634069,-1.295858767461787,0.19502414696192427,30,0.710979789489443
CPI,cpi_target_3,3,Pooled Interaction,Pre/Post Pooled,log_jolts_ratio_x_post,9.348226137880145,1.9522679262296176,4.788393033703226,1.6812213530413546e-06,30,0.710979789489443
CPI,cpi_target_6,6,Pooled Interaction,Pre/Post Pooled,const,-0.13621335140572938,0.20019764154094377,-0.6803943860541007,0.4962547747405862,45,0.8584356653144917
CPI,cpi_target_6,6,Pooled Interaction,Pre/Post Pooled,log_jolts_ratio,-0.4214825517950929,0.11289122206947817,-3.733528117320709,0.00018881610411697862,45,0.8584356653144917
CPI,cpi_target_6,6,Pooled Interaction,Pre/Post Pooled,cpi_target_6_lag,0.8909692392432952,0.024777864507808618,35.958273924797304,3.75815078403902e-283,45,0.8584356653144917
CPI,cpi_target_6,6,Pooled Interaction,Pre/Post Pooled,fed_funds,0.003106643334107595,0.06269434005214838,0.04955221366910517,0.9604792277827306,45,0.8584356653144917
CPI,cpi_target_6,6,Pooled Interaction,Pre/Post Pooled,hy_oas,0.02289246825529566,0.04718545045386918,0.4851594725725139,0.6275632277516083,45,0.8584356653144917
CPI,cpi_target_6,6,Pooled Interaction,Pre/Post Pooled,post_regime,0.2215685016180322,0.25479490252278475,0.8695955037727597,0.38452149578424477,45,0.8584356653144917
