target,target_col,horizon,model,version,params_json,rmse,mae,oos_r2_vs_persistence,row_count,train_end,test_start,test_end
PCE,pce_target_6,6,GradientBoosting,Default,"{""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 250, ""subsample"": 0.9}",3.8092901723120822,2.6514850501049656,0.12803800581133917,51,2019-12-01,2021-06-01,2025-08-01
PCE,pce_target_6,6,GradientBoosting,Tuned,"{""learning_rate"": 0.05, ""max_depth"": 2, ""n_estimators"": 300, ""subsample"": 0.8}",4.577410228867803,3.185437187122054,-0.2590677934813499,51,2019-12-01,2021-06-01,2025-08-01
PCE,pce_target_6,6,Huber,Default,"{""alpha"": 0.0001, ""epsilon"": 1.35}",3.9554718914626275,2.918299360765319,0.05983073684831486,51,2019-12-01,2021-06-01,2025-08-01
PCE,pce_target_6,6,Huber,Tuned,"{""alpha"": 0.0001, ""epsilon"": 1.1}",3.7950012596956797,2.822750873339453,0.13456731713181658,51,2019-12-01,2021-06-01,2025-08-01
PCE,pce_target_6,6,Lasso,Default,"{""alpha"": 0.02}",4.51467977964287,3.614089058464902,-0.22479483715992665,51,2019-12-01,2021-06-01,2025-08-01
PCE,pce_target_6,6,Lasso,Tuned,"{""alpha"": 0.1}",3.153986466133836,2.354491992557733,0.4022369112826387,51,2019-12-01,2021-06-01,2025-08-01
PCE,pce_target_6,6,RandomForest,Default,"{""max_depth"": 4, ""min_samples_leaf"": 5, ""n_estimators"": 400}",3.590932250132489,2.573860044379556,0.22513888666495196,51,2019-12-01,2021-06-01,2025-08-01
PCE,pce_target_6,6,RandomForest,Tuned,"{""max_depth"": 4, ""max_features"": 0.75, ""min_samples_leaf"": 4, ""n_estimators"": 200}",3.570445391434769,2.5767493019135115,0.233955085805452,51,2019-12-01,2021-06-01,2025-08-01
PCE,pce_target_6,6,Ridge,Default,"{""alpha"": 1.0}",4.629270557949252,3.827469272125827,-0.2877589329961252,51,2019-12-01,2021-06-01,2025-08-01
PCE,pce_target_6,6,Ridge,Tuned,"{""alpha"": 10.0}",4.362994750044596,3.510626659009655,-0.14387567394307088,51,2019-12-01,2021-06-01,2025-08-01
PCE,pce_target_12,12,ElasticNet,Default,"{""alpha"": 0.03, ""l1_ratio"": 0.5}",3.96055478033421,3.3617860160861204,-1.3974353504443933,45,2019-12-01,2021-06-01,2025-02-01
PCE,pce_target_12,12,ElasticNet,Tuned,"{""alpha"": 0.05, ""l1_ratio"": 0.95}",3.5941230875765,3.000602437411733,-0.9743345615323111,45,2019-12-01,2021-06-01,2025-02-01
PCE,pce_target_12,12,GradientBoosting,Default,"{""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 250, ""subsample"": 0.9}",3.487790460644143,2.9014356223990894,-0.8592407375784958,45,2019-12-01,2021-06-01,2025-02-01
PCE,pce_target_12,12,GradientBoosting,Tuned,"{""learning_rate"": 0.02, ""max_depth"": 2, ""n_estimators"": 100, ""subsample"": 0.8}",3.046208809750658,2.3418008884480748,-0.418254581337979,45,2019-12-01,2021-06-01,2025-02-01
PCE,pce_target_12,12,Huber,Default,"{""alpha"": 0.0001, ""epsilon"": 1.35}",3.8302235274357956,3.329585463725187,-1.242245157832849,45,2019-12-01,2021-06-01,2025-02-01
PCE,pce_target_12,12,Huber,Tuned,"{""alpha"": 1e-05, ""epsilon"": 1.1}",3.8381713074974644,3.3561118754972403,-1.251560207223127,45,2019-12-01,2021-06-01,2025-02-01
PCE,pce_target_12,12,Lasso,Default,"{""alpha"": 0.02}",4.05261605889102,3.455064504294705,-1.5101852749072964,45,2019-12-01,2021-06-01,2025-02-01
PCE,pce_target_12,12,Lasso,Tuned,"{""alpha"": 0.1}",2.8308339828277798,2.2327387088655417,-0.22479570989019182,45,2019-12-01,2021-06-01,2025-02-01
PCE,pce_target_12,12,RandomForest,Default,"{""max_depth"": 4, ""min_samples_leaf"": 5, ""n_estimators"": 400}",2.788585165534098,2.169002846461431,-0.18850956432472787,45,2019-12-01,2021-06-01,2025-02-01
PCE,pce_target_12,12,RandomForest,Tuned,"{""max_depth"": 2, ""max_features"": 0.75, ""min_samples_leaf"": 2, ""n_estimators"": 400}",2.698177083784591,2.0223043473288764,-0.11269402092853609,45,2019-12-01,2021-06-01,2025-02-01
PCE,pce_target_12,12,Ridge,Default,"{""alpha"": 1.0}",4.089700975832608,3.5704873786692928,-1.5563361748910594,45,2019-12-01,2021-06-01,2025-02-01
PCE,pce_target_12,12,Ridge,Tuned,"{""alpha"": 10.0}",3.861099639953279,3.2829064569781936,-1.278541138087851,45,2019-12-01,2021-06-01,2025-02-01
Wage,wage_target_3,3,ElasticNet,Default,"{""alpha"": 0.03, ""l1_ratio"": 0.5}",1.3882284805923601,1.0875307970793116,-0.8849795427771863,55,2019-12-01,2021-06-01,2025-12-01
Wage,wage_target_3,3,ElasticNet,Tuned,"{""alpha"": 0.05, ""l1_ratio"": 0.95}",1.5292486598779416,1.2341251761448389,-1.2873938986769198,55,2019-12-01,2021-06-01,2025-12-01
Wage,wage_target_3,3,GradientBoosting,Default,"{""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 250, ""subsample"": 0.9}",1.869310469039038,1.5338066177123313,-2.4178076511246447,55,2019-12-01,2021-06-01,2025-12-01
Wage,wage_target_3,3,GradientBoosting,Tuned,"{""learning_rate"": 0.05, ""max_depth"": 1, ""n_estimators"": 100, ""subsample"": 0.8}",1.82326156213712,1.4481755980626678,-2.2514920298231837,55,2019-12-01,2021-06-01,2025-12-01
Wage,wage_target_3,3,Huber,Default,"{""alpha"": 0.0001, ""epsilon"": 1.35}",1.2310481019864896,0.8679635206262806,-0.48229548905215736,55,2019-12-01,2021-06-01,2025-12-01
Wage,wage_target_3,3,Huber,Tuned,"{""alpha"": 0.0001, ""epsilon"": 1.1}",1.3352458482860297,0.9335490661605027,-0.7438423228791051,55,2019-12-01,2021-06-01,2025-12-01
Wage,wage_target_3,3,Lasso,Default,"{""alpha"": 0.02}",1.4870124873175101,1.1716106619048825,-1.16278810473657,55,2019-12-01,2021-06-01,2025-12-01
Wage,wage_target_3,3,Lasso,Tuned,"{""alpha"": 0.1}",1.5416659277294766,1.2678313398480983,-1.3246912960776451,55,2019-12-01,2021-06-01,2025-12-01
Wage,wage_target_3,3,RandomForest,Default,"{""max_depth"": 4, ""min_samples_leaf"": 5, ""n_estimators"": 400}",1.7652992267761691,1.4224422380946926,-2.048045201408062,55,2019-12-01,2021-06-01,2025-12-01
Wage,wage_target_3,3,RandomForest,Tuned,"{""max_depth"": 6, ""max_features"": 0.75, ""min_samples_leaf"": 4, ""n_estimators"": 200}",1.7327098640393181,1.4056872180937967,-1.936543487457397,55,2019-12-01,2021-06-01,2025-12-01
Wage,wage_target_3,3,Ridge,Default,"{""alpha"": 1.0}",1.2106984042436084,0.8640913574113558,-0.4336947046023609,55,2019-12-01,2021-06-01,2025-12-01
Wage,wage_target_3,3,Ridge,Tuned,"{""alpha"": 10.0}",1.2776905210308362,0.9633403234981922,-0.5967469191333581,55,2019-12-01,2021-06-01,2025-12-01
Wage,wage_target_6,6,ElasticNet,Default,"{""alpha"": 0.03, ""l1_ratio"": 0.5}",0.972490894979078,0.7554216545855048,0.8755033639193174,52,2019-12-01,2021-06-01,2025-09-01
Wage,wage_target_6,6,ElasticNet,Tuned,"{""alpha"": 0.05, ""l1_ratio"": 0.95}",0.9765980746039142,0.7668842984825217,0.874449554952516,52,2019-12-01,2021-06-01,2025-09-01
Wage,wage_target_6,6,GradientBoosting,Default,"{""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 250, ""subsample"": 0.9}",1.6866332971768754,1.3241823970552962,0.6255206547899637,52,2019-12-01,2021-06-01,2025-09-01
Wage,wage_target_6,6,GradientBoosting,Tuned,"{""learning_rate"": 0.02, ""max_depth"": 1, ""n_estimators"": 200, ""subsample"": 0.8}",1.8403706257462549,1.5215709307511303,0.554141434105528,52,2019-12-01,2021-06-01,2025-09-01
Wage,wage_target_6,6,Huber,Default,"{""alpha"": 0.0001, ""epsilon"": 1.35}",1.3344320481210772,0.9135514249912032,0.7655882073036278,52,2019-12-01,2021-06-01,2025-09-01
Wage,wage_target_6,6,Huber,Tuned,"{""alpha"": 0.001, ""epsilon"": 1.1}",1.4083885573504904,0.9696324405249318,0.7388851900318316,52,2019-12-01,2021-06-01,2025-09-01
Wage,wage_target_6,6,Lasso,Default,"{""alpha"": 0.02}",1.0065765120267671,0.775513465739291,0.8666232553410611,52,2019-12-01,2021-06-01,2025-09-01
Wage,wage_target_6,6,Lasso,Tuned,"{""alpha"": 0.05}",0.9877676470471507,0.7726228454456479,0.8715612341688751,52,2019-12-01,2021-06-01,2025-09-01
Wage,wage_target_6,6,RandomForest,Default,"{""max_depth"": 4, ""min_samples_leaf"": 5, ""n_estimators"": 400}",1.4985148460397013,1.182163173015882,0.7043971418108494,52,2019-12-01,2021-06-01,2025-09-01
Wage,wage_target_6,6,RandomForest,Tuned,"{""max_depth"": 4, ""max_features"": 0.75, ""min_samples_leaf"": 4, ""n_estimators"": 200}",1.2797712290259302,1.0202199995258039,0.78439878004833,52,2019-12-01,2021-06-01,2025-09-01
Wage,wage_target_6,6,Ridge,Default,"{""alpha"": 1.0}",0.7996835352179884,0.6101547592772056,0.9158173025179903,52,2019-12-01,2021-06-01,2025-09-01
Wage,wage_target_6,6,Ridge,Tuned,"{""alpha"": 10.0}",1.0215824380772112,0.8154796196115869,0.8626168829041158,52,2019-12-01,2021-06-01,2025-09-01
Wage,wage_target_12,12,ElasticNet,Default,"{""alpha"": 0.03, ""l1_ratio"": 0.5}",0.5805744513404475,0.40706202820636234,0.7500074114691442,46,2019-12-01,2021-06-01,2025-03-01
Wage,wage_target_12,12,ElasticNet,Tuned,"{""alpha"": 0.05, ""l1_ratio"": 0.2}",0.5164789947951498,0.3498665279876501,0.8021588537850588,46,2019-12-01,2021-06-01,2025-03-01
Wage,wage_target_12,12,GradientBoosting,Default,"{""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 250, ""subsample"": 0.9}",2.1495908387798868,1.6882440539955672,-2.4270693876644027,46,2019-12-01,2021-06-01,2025-03-01
Wage,wage_target_12,12,GradientBoosting,Tuned,"{""learning_rate"": 0.02, ""max_depth"": 1, ""n_estimators"": 300, ""subsample"": 0.9}",1.391577496750015,1.1486016018744158,-0.4362369210886474,46,2019-12-01,2021-06-01,2025-03-01
Wage,wage_target_12,12,Huber,Default,"{""alpha"": 0.0001, ""epsilon"": 1.35}",0.9061954680307752,0.6087833329168958,0.390947031336241,46,2019-12-01,2021-06-01,2025-03-01
Wage,wage_target_12,12,Huber,Tuned,"{""alpha"": 1e-05, ""epsilon"": 1.75}",0.8369452861683361,0.587603897694946,0.48047622386181765,46,2019-12-01,2021-06-01,2025-03-01
Wage,wage_target_12,12,Lasso,Default,"{""alpha"": 0.02}",0.5870354903073849,0.41315304685025134,0.7444122652949308,46,2019-12-01,2021-06-01,2025-03-01
Wage,wage_target_12,12,Lasso,Tuned,"{""alpha"": 0.02}",0.5870354903073849,0.41315304685025134,0.7444122652949308,46,2019-12-01,2021-06-01,2025-03-01
Wage,wage_target_12,12,RandomForest,Default,"{""max_depth"": 4, ""min_samples_leaf"": 5, ""n_estimators"": 400}",1.3061132049995576,1.0902252194009663,-0.2652400571462512,46,2019-12-01,2021-06-01,2025-03-01
Wage,wage_target_12,12,RandomForest,Tuned,"{""max_depth"": 2, ""max_features"": 0.75, ""min_samples_leaf"": 4, ""n_estimators"": 400}",1.247779042660466,1.0559336885487185,-0.15474653227070778,46,2019-12-01,2021-06-01,2025-03-01
Wage,wage_target_12,12,Ridge,Default,"{""alpha"": 1.0}",0.5539265253654554,0.48452133265416625,0.7724296815772034,46,2019-12-01,2021-06-01,2025-03-01
Wage,wage_target_12,12,Ridge,Tuned,"{""alpha"": 10.0}",0.4543060527856308,0.31432910396430314,0.8469235652641283,46,2019-12-01,2021-06-01,2025-03-01
