model_name,target_name,split_name,rmse_value,mae_value,row_count
OLS,wage_target_0,fold_4,1.1634912892649334,0.7471692123089915,32
RidgeTuned,wage_target_0,fold_4,1.023511283982182,0.6997797632921154,32
ElasticTuned,wage_target_0,fold_4,1.0514988623146828,0.598003361508028,32
SARIMAX,wage_target_0,fold_4,1.1492893520655285,0.7594974364864743,32
Persistence,wage_target_0,fold_5,0.7214524030788678,0.5753778746859963,32
ElasticNet,wage_target_0,fold_5,2.645535434105058,2.4696607121020118,32
Ridge,wage_target_0,fold_5,4.898504607454356,4.587646122661782,32
OLS,wage_target_0,fold_5,5.285241038522908,4.9387044768357145,32
RidgeTuned,wage_target_0,fold_5,3.9544780724101343,3.719328263070027,32
ElasticTuned,wage_target_0,fold_5,3.387736864768121,3.1811267089723443,32
SARIMAX,wage_target_0,fold_5,5.893594531027179,5.5373656142194845,32
Persistence,wage_target_12,fold_1,0.18483538316911058,0.1554566517491566,30
ElasticNet,wage_target_12,fold_1,0.27814095289380353,0.23010435361431225,30
Ridge,wage_target_12,fold_1,0.3454169562103118,0.2998224108743714,30
OLS,wage_target_12,fold_1,0.1947445649895942,0.15756544115277826,30
RidgeTuned,wage_target_12,fold_1,0.3135776232047837,0.2517051223824121,30
ElasticTuned,wage_target_12,fold_1,0.25323161468742345,0.2027095108882005,30
SARIMAX,wage_target_12,fold_1,0.4463360077574298,0.40232143246506813,30
Persistence,wage_target_12,fold_2,0.2541949563207678,0.20133759500864676,30
ElasticNet,wage_target_12,fold_2,0.14349633350844052,0.11069182450443789,30
Ridge,wage_target_12,fold_2,0.18943964467637817,0.1535864236140185,30
OLS,wage_target_12,fold_2,0.260027281631404,0.20965026923267213,30
RidgeTuned,wage_target_12,fold_2,0.20467531817793563,0.1683484960869645,30
ElasticTuned,wage_target_12,fold_2,0.14349633350844052,0.11069182450443789,30
SARIMAX,wage_target_12,fold_2,0.17669140126121113,0.14227133996076613,30
Persistence,wage_target_12,fold_3,0.3887125908895389,0.2861810334622117,30
ElasticNet,wage_target_12,fold_3,0.2739501646012991,0.20904380072524015,30
Ridge,wage_target_12,fold_3,0.22019283341005655,0.17447658259345988,30
OLS,wage_target_12,fold_3,0.2770575938273189,0.2138125153339267,30
RidgeTuned,wage_target_12,fold_3,0.29374398463845347,0.22372705610338198,30
ElasticTuned,wage_target_12,fold_3,0.24694772275189558,0.18779246525848753,30
SARIMAX,wage_target_12,fold_3,0.28311903614522754,0.21983441112821428,30
Persistence,wage_target_12,fold_4,1.4543168599981626,1.0517557225918408,30
ElasticNet,wage_target_12,fold_4,1.5197488947121505,1.1522956833725522,30
Ridge,wage_target_12,fold_4,1.617203519026757,1.2665217943395446,30
OLS,wage_target_12,fold_4,1.5862717891151417,1.2593806440673485,30
RidgeTuned,wage_target_12,fold_4,1.617203519026757,1.2665217943395446,30
ElasticTuned,wage_target_12,fold_4,1.5243052356244577,1.1996949921567326,30
SARIMAX,wage_target_12,fold_4,1.5739710769070323,1.2605024428780482,30
Persistence,wage_target_12,fold_5,0.5159819043294963,0.4523682112071932,30
ElasticNet,wage_target_12,fold_5,1.055512430840095,0.9091652743547602,30
Ridge,wage_target_12,fold_5,0.9430075075469467,0.7363177511060719,30
OLS,wage_target_12,fold_5,2.7279805471722742,2.2689687580278886,30
RidgeTuned,wage_target_12,fold_5,0.8514052698060371,0.7656896157450631,30
ElasticTuned,wage_target_12,fold_5,1.1569840750550875,0.9551402571726564,30
SARIMAX,wage_target_12,fold_5,1.588819350241967,1.3337685454001509,30
Persistence,wage_target_3,fold_1,0.21859602276793494,0.1898735392716133,31
ElasticNet,wage_target_3,fold_1,0.4602230567834137,0.3594854908236858,31
Ridge,wage_target_3,fold_1,0.6337260960843383,0.4573865152933157,31
OLS,wage_target_3,fold_1,1.2612844730616155,1.1836277107681212,31
RidgeTuned,wage_target_3,fold_1,0.6337260960843383,0.4573865152933157,31
ElasticTuned,wage_target_3,fold_1,0.5511022451387918,0.4238741394394813,31
SARIMAX,wage_target_3,fold_1,0.9954682724698467,0.8950192417050729,31
Persistence,wage_target_3,fold_2,0.19848853942300398,0.1696514958722093,31
ElasticNet,wage_target_3,fold_2,0.1960575533764525,0.14859853879516294,31
Ridge,wage_target_3,fold_2,0.2063474244844275,0.16531774760592388,31
OLS,wage_target_3,fold_2,0.27428611730843677,0.23480312687679647,31
RidgeTuned,wage_target_3,fold_2,0.16915854857455512,0.12349245400215998,31
ElasticTuned,wage_target_3,fold_2,0.21851076291262939,0.17228044605554713,31
SARIMAX,wage_target_3,fold_2,0.3116341138965284,0.2890150551282798,31
Persistence,wage_target_3,fold_3,0.3315477571270879,0.23768797894398005,31
ElasticNet,wage_target_3,fold_3,0.1905119361646426,0.1538431052802324,31
Ridge,wage_target_3,fold_3,0.21315416760626502,0.16315635702781212,31
OLS,wage_target_3,fold_3,0.31191844068180896,0.1742541361852266,31
RidgeTuned,wage_target_3,fold_3,0.21670698993521295,0.17405253561990885,31
ElasticTuned,wage_target_3,fold_3,0.2679220260716692,0.21394481455199377,31
SARIMAX,wage_target_3,fold_3,0.27659873165553617,0.2066172830402449,31
Persistence,wage_target_3,fold_4,1.4821762464071992,1.0389850833645626,31
ElasticNet,wage_target_3,fold_4,1.5353714575385493,1.0185488734045367,31
Ridge,wage_target_3,fold_4,1.6107359767303562,1.108310808603255,31
OLS,wage_target_3,fold_4,1.7917350983540166,1.22360234676894,31
RidgeTuned,wage_target_3,fold_4,1.4704740096520446,0.9965499503785351,31
ElasticTuned,wage_target_3,fold_4,1.5413976856546414,1.0001965733610654,31
SARIMAX,wage_target_3,fold_4,1.8511291519949744,1.3260736319099227,31
Persistence,wage_target_3,fold_5,0.6964736360622173,0.5585827003902369,31
ElasticNet,wage_target_3,fold_5,0.7724604754460745,0.5786823169756912,31
Ridge,wage_target_3,fold_5,1.1506084052934646,0.8443030635674984,31
OLS,wage_target_3,fold_5,1.6970037500251351,1.259628399816829,31
RidgeTuned,wage_target_3,fold_5,0.7271559601198918,0.5985400099333521,31
ElasticTuned,wage_target_3,fold_5,0.7756418548786315,0.5983107266922316,31
SARIMAX,wage_target_3,fold_5,1.368054298437497,1.06335061432374,31
Persistence,wage_target_6,fold_1,0.21859602276793494,0.1898735392716133,31
ElasticNet,wage_target_6,fold_1,0.41879430985027305,0.31769441701705653,31
Ridge,wage_target_6,fold_1,0.391559510278272,0.31014426662107186,31
OLS,wage_target_6,fold_1,0.4775316487068698,0.4078774724656719,31
RidgeTuned,wage_target_6,fold_1,0.38557409607745363,0.3020195722748635,31
ElasticTuned,wage_target_6,fold_1,0.3616146637636198,0.2794520798901682,31
SARIMAX,wage_target_6,fold_1,0.7104833768728638,0.6441518210918307,31
Persistence,wage_target_6,fold_2,0.19848853942300398,0.1696514958722093,31
ElasticNet,wage_target_6,fold_2,0.13598954984227601,0.11311473086137099,31
Ridge,wage_target_6,fold_2,0.17285300266730308,0.1430462804352,31
OLS,wage_target_6,fold_2,0.2627863720365396,0.21036875072560354,31
RidgeTuned,wage_target_6,fold_2,0.1888107081015837,0.1629135380494287,31
ElasticTuned,wage_target_6,fold_2,0.12542204214333813,0.1031036361728705,31
SARIMAX,wage_target_6,fold_2,0.15039958718959814,0.11479436450100271,31
Persistence,wage_target_6,fold_3,0.3315477571270879,0.23768797894398005,31
ElasticNet,wage_target_6,fold_3,0.18646535926892363,0.13852030540728766,31
Ridge,wage_target_6,fold_3,0.157450855636932,0.12350659323776282,31
OLS,wage_target_6,fold_3,0.1544015799880593,0.1226598638901589,31
RidgeTuned,wage_target_6,fold_3,0.18867956085177737,0.1432005046994162,31
ElasticTuned,wage_target_6,fold_3,0.1986097984654785,0.14893970517557803,31
SARIMAX,wage_target_6,fold_3,0.13062288737191677,0.11113920716464654,31
Persistence,wage_target_6,fold_4,1.4821762464071992,1.0389850833645626,31
ElasticNet,wage_target_6,fold_4,1.7000934744171554,1.2151844981333044,31
Ridge,wage_target_6,fold_4,1.5470292789920361,1.1268852610008948,31
OLS,wage_target_6,fold_4,1.6341943494108233,1.2291295940317644,31
RidgeTuned,wage_target_6,fold_4,1.5417033312360737,1.0720256769623882,31
ElasticTuned,wage_target_6,fold_4,1.7531696252232145,1.2563817465581395,31
SARIMAX,wage_target_6,fold_4,1.6233184400059704,1.2305868059733165,31
Persistence,wage_target_6,fold_5,0.6964736360622173,0.5585827003902369,31
ElasticNet,wage_target_6,fold_5,0.9046912341006574,0.8058730050615682,31
Ridge,wage_target_6,fold_5,1.4552951809138397,1.328582113426865,31
OLS,wage_target_6,fold_5,1.9906067022512213,1.7903284694022532,31
RidgeTuned,wage_target_6,fold_5,1.1539646902130292,1.0465905430567382,31
ElasticTuned,wage_target_6,fold_5,1.3041490450578583,1.187531353628557,31
SARIMAX,wage_target_6,fold_5,1.405955089440202,1.082981281559257,31
