target,target_col,horizon,model,regime,term,coefficient,std_error,t_value,p_value,row_count,r_squared
Wage,wage_target_12,12,log_jolts_ratio,Pre-2020,log_jolts_ratio,1.427227319916518,0.5945903126520319,2.400354142250825,0.016379216889641907,22,0.6099662003370296
Wage,wage_target_12,12,log_jolts_ratio,Pre-2020,wage_target_12_lag,-0.21549994572504122,0.4807690414917043,-0.4482400635789684,0.6539799516264715,22,0.6099662003370296
Wage,wage_target_12,12,log_jolts_ratio,Pre-2020,fed_funds,0.27905115476275655,0.16879875947093026,1.6531588006771665,0.09829854885300786,22,0.6099662003370296
Wage,wage_target_12,12,log_jolts_ratio,Pre-2020,hy_oas,0.2855465518302568,0.1643743713834264,1.7371719777664074,0.0823568195505871,22,0.6099662003370296
Wage,wage_target_12,12,log_jolts_ratio,Post-Pandemic (2021-06+),const,1.8228393956204862,0.3787682175813888,4.812545802443942,1.4901970499637218e-06,9,0.9222629987146724
Wage,wage_target_12,12,log_jolts_ratio,Post-Pandemic (2021-06+),log_jolts_ratio,-0.7801167962310869,0.44767781893158765,-1.7425853219462304,0.08140607578145456,9,0.9222629987146724
Wage,wage_target_12,12,log_jolts_ratio,Post-Pandemic (2021-06+),wage_target_12_lag,0.5514783978893487,0.04045931179907605,13.630444349326341,2.6396814625973205e-42,9,0.9222629987146724
Wage,wage_target_12,12,log_jolts_ratio,Post-Pandemic (2021-06+),fed_funds,-0.0948241630450899,0.021250900764344313,-4.462124410471579,8.115108540978185e-06,9,0.9222629987146724
Wage,wage_target_12,12,log_jolts_ratio,Post-Pandemic (2021-06+),hy_oas,0.12529838800847615,0.12482538505963013,1.0037893169616106,0.3154801747523487,9,0.9222629987146724
CPI,cpi_target_3,3,log_jolts_ratio,Pre-2020,const,-0.6454715242731494,0.4912555832171365,-1.3139220119313104,0.1888724503379,26,0.5303531545847044
CPI,cpi_target_3,3,log_jolts_ratio,Pre-2020,log_jolts_ratio,-0.889705651159816,0.4288692862809239,-2.0745380460213902,0.03802936913643674,26,0.5303531545847044
CPI,cpi_target_3,3,log_jolts_ratio,Pre-2020,cpi_target_3_lag,0.620611002745856,0.1311547897871974,4.7318973539038565,2.224308906102413e-06,26,0.5303531545847044
CPI,cpi_target_3,3,log_jolts_ratio,Pre-2020,fed_funds,0.14635112547077506,0.1808258914101285,0.8093482870704519,0.4183148386493538,26,0.5303531545847044
CPI,cpi_target_3,3,log_jolts_ratio,Pre-2020,hy_oas,0.09514575074144399,0.07018257220714705,1.3556891369073363,0.1751980972075211,26,0.5303531545847044
CPI,cpi_target_3,3,log_jolts_ratio,Post-Pandemic (2021-06+),const,-6.979368598978244,5.797999972509521e-14,-120375450708348.25,0.0,4,1.0
CPI,cpi_target_3,3,log_jolts_ratio,Post-Pandemic (2021-06+),log_jolts_ratio,5.328491868504354,4.149042545919477e-14,128427024055100.33,0.0,4,1.0
CPI,cpi_target_3,3,log_jolts_ratio,Post-Pandemic (2021-06+),cpi_target_3_lag,1.6595650153358763,1.030386108896105e-14,161062440672248.25,0.0,4,1.0
CPI,cpi_target_3,3,log_jolts_ratio,Post-Pandemic (2021-06+),fed_funds,0.8043005332450388,1.5398467075975292e-14,52232506604498.93,0.0,4,1.0
CPI,cpi_target_3,3,log_jolts_ratio,Post-Pandemic (2021-06+),hy_oas,0.07713606321054378,1.5363674581733063e-14,5020678015548.194,0.0,4,1.0
CPI,cpi_target_6,6,log_jolts_ratio,Pre-2020,const,-0.10404267210626778,0.21729894531076074,-0.47879971049779196,0.6320811226606344,33,0.8068185160001109
CPI,cpi_target_6,6,log_jolts_ratio,Pre-2020,log_jolts_ratio,-0.5175687780705489,0.13026244128756115,-3.9732771238947437,7.089049014101586e-05,33,0.8068185160001109
CPI,cpi_target_6,6,log_jolts_ratio,Pre-2020,cpi_target_6_lag,0.8458015461501975,0.028958531189986824,29.207335848672315,1.5648635318013377e-187,33,0.8068185160001109
CPI,cpi_target_6,6,log_jolts_ratio,Pre-2020,fed_funds,0.057285340030924156,0.07431500324522486,0.7708448836622375,0.44079887960662567,33,0.8068185160001109
CPI,cpi_target_6,6,log_jolts_ratio,Pre-2020,hy_oas,0.005118348557253002,0.053837487780456786,0.09507034537207701,0.9242589523267973,33,0.8068185160001109
CPI,cpi_target_6,6,log_jolts_ratio,Post-Pandemic (2021-06+),const,0.2917971813603337,0.6526231508615811,0.44711435837835123,0.6547924924243917,12,0.9706768063594432
CPI,cpi_target_6,6,log_jolts_ratio,Post-Pandemic (2021-06+),log_jolts_ratio,-0.7009087104294611,0.8230503182086298,-0.851598857230248,0.3944367740913597,12,0.9706768063594432
CPI,cpi_target_6,6,log_jolts_ratio,Post-Pandemic (2021-06+),cpi_target_6_lag,0.7895431087181621,0.07893996222649813,10.001817665592101,1.4962508948336462e-23,12,0.9706768063594432
CPI,cpi_target_6,6,log_jolts_ratio,Post-Pandemic (2021-06+),fed_funds,-0.16929685995473578,0.06465043095448345,-2.6186501382168315,0.008827843481591565,12,0.9706768063594432
CPI,cpi_target_6,6,log_jolts_ratio,Post-Pandemic (2021-06+),hy_oas,0.3243414411788792,0.2979114219177023,1.0887177104222547,0.276278389362864,12,0.9706768063594432
CPI,cpi_target_12,12,log_jolts_ratio,Pre-2020,const,0.30686136750722176,0.13420693159487831,2.286479273913542,0.022226235292241093,35,0.7886001205150798
CPI,cpi_target_12,12,log_jolts_ratio,Pre-2020,log_jolts_ratio,0.1916392496875831,0.09621282554392771,1.9918264389822617,0.04639010429639668,35,0.7886001205150798
CPI,cpi_target_12,12,log_jolts_ratio,Pre-2020,cpi_target_12_lag,0.8139197091554271,0.0834072240056514,9.758383867328789,1.698400807798311e-22,35,0.7886001205150798
CPI,cpi_target_12,12,log_jolts_ratio,Pre-2020,fed_funds,0.0663973480393333,0.03219622274207803,2.0622713593218185,0.0391819081925472,35,0.7886001205150798
CPI,cpi_target_12,12,log_jolts_ratio,Pre-2020,hy_oas,-0.005113831050033192,0.013662565940492415,-0.374295068167033,0.7081848008976462,35,0.7886001205150798
CPI,cpi_target_12,12,log_jolts_ratio,Post-Pandemic (2021-06+),const,1.328558521164645,7.942368368947776e-15,167274855490070.34,0.0,5,1.0
CPI,cpi_target_12,12,log_jolts_ratio,Post-Pandemic (2021-06+),log_jolts_ratio,-0.375800759128714,4.080103652967279e-15,-92105689240372.78,0.0,5,1.0
CPI,cpi_target_12,12,log_jolts_ratio,Post-Pandemic (2021-06+),cpi_target_12_lag,0.4536621230397846,1.4060408088180749e-15,322652173531958.4,0.0,5,1.0
CPI,cpi_target_12,12,log_jolts_ratio,Post-Pandemic (2021-06+),fed_funds,-0.1300905938105006,1.1845092049208804e-16,-1098265790337948.6,0.0,5,1.0
CPI,cpi_target_12,12,log_jolts_ratio,Post-Pandemic (2021-06+),hy_oas,0.32221982852956677,1.0798316300473375e-15,298398212798639.1,0.0,5,1.0
PCE,pce_target_3,3,log_jolts_ratio,Pre-2020,const,0.569699871965923,0.3774466278534743,1.509352130672848,0.1312088192153118,26,0.44202044439597776
PCE,pce_target_3,3,log_jolts_ratio,Pre-2020,log_jolts_ratio,-0.35210721015675034,0.33735270733216505,-1.043736132848217,0.296607487649026,26,0.44202044439597776
PCE,pce_target_3,3,log_jolts_ratio,Pre-2020,pce_target_3_lag,0.6757731478556862,0.15902362709290044,4.249514114408323,2.142347105590686e-05,26,0.44202044439597776
PCE,pce_target_3,3,log_jolts_ratio,Pre-2020,fed_funds,0.1475143606852074,0.12362324406997686,1.1932574799744535,0.2327685494444841,26,0.44202044439597776
PCE,pce_target_3,3,log_jolts_ratio,Pre-2020,hy_oas,-0.052945795841924354,0.061601421993350294,-0.8594898320308207,0.39007032739583536,26,0.44202044439597776
