target,target_col,horizon,regime,term,coefficient,t_value,p_value,row_count
CPI,cpi_target_6,6,post,cpi_target_6_lag,0.7895431087181621,10.001817665592101,1.4962508948336462e-23,12
CPI,cpi_target_6,6,post,fed_funds,-0.16929685995473578,-2.6186501382168315,0.008827843481591565,12
CPI,cpi_target_6,6,post,hy_oas,0.3243414411788792,1.0887177104222547,0.276278389362864,12
CPI,cpi_target_12,12,pre,const,0.30686136750722176,2.286479273913542,0.022226235292241093,35
CPI,cpi_target_12,12,pre,log_jolts_ratio,0.1916392496875831,1.9918264389822617,0.04639010429639668,35
CPI,cpi_target_12,12,pre,cpi_target_12_lag,0.8139197091554271,9.758383867328789,1.698400807798311e-22,35
CPI,cpi_target_12,12,pre,fed_funds,0.0663973480393333,2.0622713593218185,0.0391819081925472,35
CPI,cpi_target_12,12,pre,hy_oas,-0.005113831050033192,-0.374295068167033,0.7081848008976462,35
CPI,cpi_target_12,12,post,const,1.328558521164645,167274855490070.34,0.0,5
CPI,cpi_target_12,12,post,log_jolts_ratio,-0.375800759128714,-92105689240372.78,0.0,5
CPI,cpi_target_12,12,post,cpi_target_12_lag,0.4536621230397846,322652173531958.4,0.0,5
CPI,cpi_target_12,12,post,fed_funds,-0.1300905938105006,-1098265790337948.6,0.0,5
CPI,cpi_target_12,12,post,hy_oas,0.32221982852956677,298398212798639.1,0.0,5
PCE,pce_target_3,3,pre,const,0.569699871965923,1.509352130672848,0.1312088192153118,26
PCE,pce_target_3,3,pre,log_jolts_ratio,-0.35210721015675034,-1.043736132848217,0.296607487649026,26
PCE,pce_target_3,3,pre,pce_target_3_lag,0.6757731478556862,4.249514114408323,2.142347105590686e-05,26
PCE,pce_target_3,3,pre,fed_funds,0.1475143606852074,1.1932574799744535,0.2327685494444841,26
PCE,pce_target_3,3,pre,hy_oas,-0.052945795841924354,-0.8594898320308207,0.39007032739583536,26
PCE,pce_target_3,3,post,const,0.07696137772383375,470986354230081.4,0.0,2
PCE,pce_target_3,3,post,log_jolts_ratio,2.0672661589338226e-05,346511222472.0894,0.0,2
PCE,pce_target_3,3,post,pce_target_3_lag,0.17274953347712318,117019069800336.17,0.0,2
PCE,pce_target_3,3,post,fed_funds,0.33324276554419957,470986354230074.2,0.0,2
PCE,pce_target_3,3,post,hy_oas,0.2421071645417252,424001590715335.7,0.0,2
PCE,pce_target_6,6,pre,const,-0.18747582495109594,-0.7357135144624506,0.4619050633667934,39
PCE,pce_target_6,6,pre,log_jolts_ratio,0.13589779418696052,0.7547898093277423,0.45037510937550584,39
PCE,pce_target_6,6,pre,pce_target_6_lag,0.9254248101851896,13.08165124365156,4.192329487818291e-39,39
PCE,pce_target_6,6,pre,fed_funds,0.044781430804320635,1.1264210677392228,0.2599873334422784,39
PCE,pce_target_6,6,pre,hy_oas,0.07365578342387363,2.0095830295423514,0.044475338865495255,39
PCE,pce_target_6,6,post,const,2.4253354788962653,1.772644007284198,0.07628771469240622,11
PCE,pce_target_6,6,post,log_jolts_ratio,0.9289212661546102,0.9962416078358926,0.319132767565104,11
PCE,pce_target_6,6,post,pce_target_6_lag,0.6486153707087956,5.712680006825306,1.1121067907525427e-08,11
PCE,pce_target_6,6,post,fed_funds,-0.28056714062468935,-5.634711827653101,1.7535130492079155e-08,11
PCE,pce_target_6,6,post,hy_oas,-0.08852040783673498,-0.29011291044128973,0.7717298592386778,11
PCE,pce_target_12,12,pre,const,-0.01258150657233631,-0.22147246962123565,0.8247245704315627,37
PCE,pce_target_12,12,pre,log_jolts_ratio,0.19539658309201552,3.299870246024527,0.0009672954008200959,37
PCE,pce_target_12,12,pre,pce_target_12_lag,0.9722762941593948,21.531274632701148,7.932176942447779e-103,37
PCE,pce_target_12,12,pre,fed_funds,-0.0526477178693812,-1.2352678753795154,0.21673082538137112,37
PCE,pce_target_12,12,pre,hy_oas,0.033653483887471865,2.238723679968549,0.025173900782529984,37
PCE,pce_target_12,12,post,const,-3.000293676612621,-1.4089967148526727,0.15883613953275133,7
PCE,pce_target_12,12,post,log_jolts_ratio,-1.9496218535204122,-4.725903581633482,2.2909433980457534e-06,7
PCE,pce_target_12,12,post,pce_target_12_lag,1.3400634115726415,5.4154849437563,6.11228155668233e-08,7
PCE,pce_target_12,12,post,fed_funds,0.31749643582982157,1.7083233412660856,0.08757636261729922,7
PCE,pce_target_12,12,post,hy_oas,0.30286520902993086,2.1700694226556547,0.030001587180465,7
