target,target_col,horizon,model,mae_Default,mae_Tuned,oos_r2_vs_persistence_Default,oos_r2_vs_persistence_Tuned,rmse_Default,rmse_Tuned,rmse_gain,mae_gain,oos_r2_gain
PCE,pce_target_3,3,Ridge,2.6529228188100036,2.5157810531877294,0.3158965598258624,0.37141620058910363,3.5097722063405996,3.3643381100748684,0.14543409626573123,0.1371417656222742,0.05551964076324123
PCE,pce_target_3,3,Huber,2.3690524348135056,2.553850116686702,0.3549926028497188,0.2968637167011592,3.408006315914379,3.558260977144085,-0.150254661229706,-0.18479768187319623,-0.0581288861485596
PCE,pce_target_6,6,Lasso,3.614089058464902,2.354491992557733,-0.22479483715992665,0.4022369112826387,4.51467977964287,3.153986466133836,1.3606933135090342,1.2595970659071694,0.6270317484425654
PCE,pce_target_6,6,ElasticNet,3.552219868020029,3.2231925417550578,-0.19004888891397576,-0.0034097134872137502,4.450181048187158,4.086339340201209,0.36384170798594884,0.32902732626497144,0.186639175426762
PCE,pce_target_6,6,Ridge,3.827469272125827,3.510626659009655,-0.2877589329961252,-0.14387567394307088,4.629270557949252,4.362994750044596,0.2662758079046563,0.3168426131161719,0.14388325905305432
PCE,pce_target_6,6,Huber,2.918299360765319,2.822750873339453,0.05983073684831486,0.13456731713181658,3.9554718914626275,3.7950012596956797,0.16047063176694776,0.0955484874258663,0.07473658028350172
PCE,pce_target_6,6,RandomForest,2.573860044379556,2.5767493019135115,0.22513888666495196,0.233955085805452,3.590932250132489,3.570445391434769,0.020486858697720045,-0.002889257533955636,0.008816199140500025
PCE,pce_target_6,6,GradientBoosting,2.6514850501049656,3.185437187122054,0.12803800581133917,-0.2590677934813499,3.8092901723120822,4.577410228867803,-0.7681200565557211,-0.5339521370170885,-0.38710579929268907
PCE,pce_target_12,12,Lasso,3.455064504294705,2.2327387088655417,-1.5101852749072964,-0.22479570989019182,4.05261605889102,2.8308339828277798,1.2217820760632399,1.222325795429163,1.2853895650171046
PCE,pce_target_12,12,GradientBoosting,2.9014356223990894,2.3418008884480748,-0.8592407375784958,-0.418254581337979,3.487790460644143,3.046208809750658,0.4415816508934851,0.5596347339510146,0.44098615624051685
PCE,pce_target_12,12,ElasticNet,3.3617860160861204,3.000602437411733,-1.3974353504443933,-0.9743345615323111,3.96055478033421,3.5941230875765,0.3664316927577098,0.36118357867438755,0.42310078891208214
PCE,pce_target_12,12,Ridge,3.5704873786692928,3.2829064569781936,-1.5563361748910594,-1.278541138087851,4.089700975832608,3.861099639953279,0.22860133587932907,0.28758092169109917,0.2777950368032083
PCE,pce_target_12,12,RandomForest,2.169002846461431,2.0223043473288764,-0.18850956432472787,-0.11269402092853609,2.788585165534098,2.698177083784591,0.09040808174950676,0.14669849913255462,0.07581554339619179
PCE,pce_target_12,12,Huber,3.329585463725187,3.3561118754972403,-1.242245157832849,-1.251560207223127,3.8302235274357956,3.8381713074974644,-0.007947780061668741,-0.026526411772053393,-0.009315049390278052
Wage,wage_target_3,3,GradientBoosting,1.5338066177123313,1.4481755980626678,-2.4178076511246447,-2.2514920298231837,1.869310469039038,1.82326156213712,0.046048906901918096,0.08563101964966346,0.16631562130146094
Wage,wage_target_3,3,RandomForest,1.4224422380946926,1.4056872180937967,-2.048045201408062,-1.936543487457397,1.7652992267761691,1.7327098640393181,0.03258936273685098,0.016755020000895904,0.11150171395066488
